28.05.2018 0:29:28
1981 35   0.00,  0.00,  0.00,  0.00,  0.09,  0.09,  0.52,  1.81,  4.48,  8.96, 34.71, 16.02, 10.16,  8.53,  6.55,  3.19,  1.89,  1.55,  0.95,  0.43,  0.09
1981 36   0.00,  0.00,  0.09,  0.00,  0.17,  0.78,  2.93,  6.98, 13.78, 19.64, 18.17, 13.18,  9.99,  5.86,  3.79,  1.81,  1.38,  0.69,  0.69,  0.09,  0.00
1981 37   0.00,  0.00,  0.00,  0.26,  0.34,  2.24,  5.08,  9.47, 18.17, 19.12, 16.97, 13.18,  7.58,  3.10,  1.81,  1.38,  0.95,  0.34,  0.00,  0.00,  0.00
1981 38   0.00,  0.00,  0.09,  0.26,  0.86,  3.79,  7.49, 13.70, 21.45, 20.67, 14.13,  8.79,  4.57,  2.50,  1.38,  0.34,  0.00,  0.00,  0.00,  0.00,  0.00
1981 39   0.00,  0.00,  0.17,  0.60,  1.29,  4.57, 11.46, 16.62, 25.93, 18.69,  9.56,  6.20,  3.62,  0.95,  0.34,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1981 40   0.00,  0.00,  0.34,  0.78,  4.05,  8.53, 16.62, 22.14, 20.41, 12.32,  7.41,  4.22,  1.72,  1.21,  0.26,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1981 41   0.00,  0.00,  0.26,  1.55,  5.51, 13.52, 19.98, 21.36, 16.19,  9.65,  6.37,  2.76,  1.89,  0.78,  0.17,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1981 42   0.00,  0.00,  0.00,  0.52,  3.10, 10.08, 17.66, 19.72, 19.81, 12.40,  8.61,  4.82,  1.81,  1.03,  0.43,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1981 43   0.00,  0.00,  0.00,  0.00,  0.17,  5.77, 12.92, 18.43, 18.35, 19.21, 12.32,  7.32,  3.45,  1.21,  0.43,  0.34,  0.09,  0.00,  0.00,  0.00,  0.00
1981 44   0.00,  0.00,  0.00,  0.00,  0.09,  1.29,  7.84, 17.31, 27.56, 21.71, 13.18,  6.37,  3.10,  1.12,  0.26,  0.17,  0.00,  0.00,  0.00,  0.00,  0.00
