11.05.2018 17:44:49
1981 35   0.00,  0.04,  0.04,  0.98,  3.16,  7.21, 11.18, 12.93, 14.21, 11.57, 26.25,  5.55,  3.67,  1.37,  0.90,  0.38,  0.34,  0.00,  0.09,  0.09,  0.04
1981 36   0.04,  0.38,  1.92,  4.65,  8.66, 13.53, 15.11, 13.15, 12.93,  9.65,  9.52,  4.10,  2.56,  2.01,  0.81,  0.34,  0.34,  0.13,  0.17,  0.00,  0.00
1981 37   0.30,  1.75,  4.10,  7.00, 11.48, 14.00, 14.98, 12.16, 10.63,  8.32,  5.55,  3.59,  2.48,  1.79,  0.60,  0.51,  0.51,  0.17,  0.09,  0.00,  0.00
1981 38   1.45,  2.26,  4.69,  7.77, 11.18, 12.51, 14.81, 12.93,  9.52,  7.55,  4.99,  3.88,  2.56,  1.92,  0.98,  0.38,  0.34,  0.17,  0.09,  0.00,  0.00
1981 39   1.11,  2.22,  4.31,  6.96, 10.88, 12.04, 12.89, 12.97, 11.10,  7.68,  5.80,  4.44,  2.65,  2.43,  1.15,  0.68,  0.34,  0.21,  0.13,  0.00,  0.00
1981 40   0.73,  1.41,  3.71,  6.06,  8.24, 11.14, 12.29, 13.44, 11.78,  9.60,  6.44,  5.12,  3.84,  2.90,  1.58,  1.02,  0.34,  0.30,  0.04,  0.00,  0.00
1981 41   0.38,  0.94,  2.60,  4.74,  8.32, 10.24, 12.59, 13.19, 12.33,  9.86,  7.85,  5.42,  4.91,  3.24,  1.71,  1.15,  0.34,  0.09,  0.09,  0.00,  0.00
1981 42   0.00,  0.17,  1.49,  2.82,  5.38,  9.26, 12.04, 12.76, 12.38, 10.80,  9.43,  7.13,  6.36,  4.65,  3.33,  0.98,  0.77,  0.17,  0.04,  0.04,  0.00
1981 43   0.00,  0.04,  0.26,  1.79,  3.76,  7.00, 10.84, 12.12, 13.19, 11.27, 10.71,  9.05,  7.60,  5.72,  4.10,  1.66,  0.51,  0.30,  0.09,  0.00,  0.00
1981 44   0.00,  0.00,  0.34,  2.39,  5.89,  8.71, 11.52, 11.14, 12.08,  9.94, 10.41,  9.30,  8.15,  5.68,  3.03,  1.02,  0.34,  0.00,  0.00,  0.04,  0.00
1981 45   0.00,  0.04,  0.64,  3.41,  8.32, 12.46, 12.97, 12.12,  8.28,  8.15,  9.69, 10.03,  8.58,  3.76,  1.37,  0.13,  0.00,  0.04,  0.00,  0.00,  0.00
1981 46   0.00,  0.00,  0.60,  3.54, 10.97, 14.34, 14.98, 11.40,  7.90,  7.30,  7.77,  9.35,  8.24,  2.69,  0.68,  0.17,  0.09,  0.00,  0.00,  0.00,  0.00
1981 47   0.00,  0.00,  0.17,  2.09,  7.21, 14.21, 16.60, 12.08,  9.77,  7.21,  6.06,  7.81,  9.43,  4.74,  1.66,  0.60,  0.26,  0.09,  0.00,  0.00,  0.00
1981 48   0.00,  0.00,  0.00,  0.64,  3.50, 10.03, 15.19, 16.05, 11.95, 10.29,  7.81,  7.00,  8.62,  5.38,  2.30,  0.81,  0.21,  0.17,  0.04,  0.00,  0.00
1981 49   0.00,  0.00,  0.00,  0.43,  3.12,  7.38, 12.63, 17.97, 16.47, 12.33,  9.48,  7.43,  5.55,  3.93,  2.22,  0.77,  0.21,  0.04,  0.04,  0.00,  0.00
1981 50   0.00,  0.00,  0.00,  0.51,  2.60,  5.93, 10.03, 16.90, 17.63, 14.04, 13.10,  7.17,  5.68,  3.54,  1.66,  0.64,  0.43,  0.09,  0.04,  0.00,  0.00
1981 51   0.00,  0.00,  0.00,  0.04,  2.52,  4.82,  9.73, 13.79, 15.45, 15.62, 13.74,  9.94,  6.32,  4.27,  1.88,  1.07,  0.51,  0.30,  0.00,  0.00,  0.00
1981 52   0.00,  0.00,  0.00,  0.09,  1.37,  4.57,  8.92, 14.34, 15.71, 15.02, 14.43, 11.35,  7.00,  3.41,  2.01,  0.90,  0.60,  0.09,  0.21,  0.00,  0.00
1982 01   0.00,  0.00,  0.00,  0.13,  1.58,  5.38, 10.80, 16.39, 15.92, 15.11, 12.16, 10.76,  6.06,  3.07,  1.41,  0.77,  0.17,  0.13,  0.17,  0.00,  0.00
1982 02   0.00,  0.00,  0.00,  0.04,  1.07,  4.01, 11.52, 16.77, 18.40, 14.64, 14.13, 11.48,  4.78,  2.26,  0.55,  0.34,  0.00,  0.00,  0.00,  0.00,  0.00
1982 03   0.00,  0.00,  0.00,  0.00,  0.47,  2.90, 10.71, 18.74, 20.15, 17.07, 13.91, 11.14,  3.80,  0.98,  0.13,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 04   0.00,  0.00,  0.00,  0.00,  0.43,  5.16, 18.57, 22.36, 22.62, 13.32,  8.19,  7.81,  1.45,  0.09,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 05   0.00,  0.00,  0.00,  0.00,  0.81,  8.75, 23.94, 26.55, 18.86,  8.79,  6.19,  5.12,  0.94,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 06   0.00,  0.00,  0.00,  0.00,  1.02, 10.84, 29.24, 27.78, 16.65,  7.85,  3.88,  1.84,  0.90,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 07   0.00,  0.00,  0.00,  0.04,  1.88, 18.01, 35.60, 25.78, 11.91,  4.65,  1.37,  0.64,  0.13,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 08   0.00,  0.00,  0.00,  0.00,  1.92, 18.18, 38.03, 27.32, 10.50,  3.50,  0.47,  0.09,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 09   0.00,  0.00,  0.00,  0.00,  1.15, 15.07, 36.19, 31.11, 12.76,  3.50,  0.21,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 10   0.00,  0.00,  0.00,  0.04,  1.75, 17.24, 37.22, 31.88,  9.90,  1.84,  0.13,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 11   0.00,  0.00,  0.00,  0.13,  4.69, 23.26, 39.74, 26.16,  5.46,  0.51,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 12   0.00,  0.00,  0.00,  0.26,  4.23, 20.44, 39.99, 27.70,  6.57,  0.77,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 13   0.00,  0.00,  0.00,  0.47,  6.49, 24.24, 36.88, 24.07,  6.66,  0.98,  0.17,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 14   0.00,  0.00,  0.09,  0.73,  7.43, 20.49, 27.83, 25.99, 11.35,  4.69,  1.15,  0.26,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
