28.05.2018 0:29:19
1981 35   0.00,  0.00,  0.00,  0.00,  0.08,  0.58,  2.64,  6.22, 12.90, 17.72, 30.55, 11.35,  7.31,  4.55,  3.46,  1.28,  0.82,  0.39,  0.12,  0.00,  0.04
1981 36   0.00,  0.00,  0.04,  0.12,  0.82,  2.68,  6.22, 11.15, 14.34, 16.17, 15.70, 11.04,  7.85,  5.64,  3.69,  2.18,  1.28,  0.70,  0.23,  0.12,  0.04
1981 37   0.00,  0.04,  0.12,  0.51,  1.05,  4.31,  6.72, 11.62, 15.39, 15.97, 14.42, 10.34,  7.11,  5.29,  3.07,  1.55,  1.20,  1.05,  0.16,  0.04,  0.04
1981 38   0.00,  0.19,  0.16,  0.82,  1.32,  3.26,  6.61, 10.30, 15.43, 16.75, 15.47, 10.73,  7.81,  5.09,  2.29,  2.10,  0.86,  0.54,  0.19,  0.08,  0.00
1981 39   0.00,  0.08,  0.16,  0.54,  1.36,  2.41,  5.79,  9.48, 15.86, 15.43, 16.75, 12.36,  8.12,  5.91,  3.19,  1.71,  0.66,  0.16,  0.04,  0.00,  0.00
1981 40   0.00,  0.00,  0.08,  0.23,  0.54,  1.75,  3.85,  8.05, 13.41, 15.78, 16.09, 14.73, 11.70,  6.76,  4.55,  1.71,  0.66,  0.12,  0.00,  0.00,  0.00
1981 41   0.00,  0.00,  0.00,  0.12,  0.16,  1.28,  2.64,  6.49, 10.96, 14.61, 17.49, 14.65, 13.25,  9.87,  5.60,  2.10,  0.58,  0.12,  0.08,  0.00,  0.00
1981 42   0.00,  0.00,  0.00,  0.04,  0.16,  0.70,  2.33,  5.91,  9.33, 15.43, 16.17, 15.62, 13.87, 10.38,  5.87,  2.80,  1.09,  0.19,  0.12,  0.00,  0.00
1981 43   0.00,  0.00,  0.00,  0.00,  0.16,  0.70,  2.57,  6.02, 10.80, 14.61, 17.57, 15.00, 14.07,  9.76,  5.13,  2.45,  0.82,  0.23,  0.12,  0.00,  0.00
1981 44   0.00,  0.00,  0.00,  0.00,  0.16,  1.28,  4.28,  9.37, 12.13, 16.56, 17.29, 14.89, 12.13,  6.37,  3.65,  1.24,  0.54,  0.04,  0.08,  0.00,  0.00
1981 45   0.00,  0.00,  0.00,  0.04,  0.31,  2.95,  6.68, 10.77, 13.76, 15.31, 15.27, 13.02,  9.56,  6.10,  3.42,  1.63,  0.62,  0.43,  0.12,  0.00,  0.00
1981 46   0.00,  0.00,  0.00,  0.16,  1.05,  4.74,  8.08, 11.47, 13.80, 13.10, 13.41, 12.55,  9.99,  6.10,  3.07,  1.44,  0.66,  0.27,  0.08,  0.04,  0.00
1981 47   0.00,  0.00,  0.08,  0.66,  2.37,  6.02,  9.76, 12.67, 13.95, 13.10, 11.82, 12.16,  8.86,  4.35,  2.49,  1.32,  0.31,  0.08,  0.00,  0.00,  0.00
1981 48   0.00,  0.00,  0.12,  0.74,  3.15,  4.82,  9.29, 13.76, 14.96, 12.86, 13.25, 10.61,  7.73,  5.13,  2.49,  0.78,  0.31,  0.00,  0.00,  0.00,  0.00
1981 49   0.00,  0.00,  0.27,  1.01,  1.90,  4.78,  9.02, 11.85, 14.57, 14.30, 11.85, 11.31,  9.25,  6.06,  2.57,  0.89,  0.27,  0.08,  0.00,  0.00,  0.00
1981 50   0.00,  0.00,  0.23,  0.93,  2.64,  5.32,  9.33, 12.83, 13.21, 12.13, 12.75, 10.07, 10.10,  6.68,  2.80,  0.70,  0.23,  0.00,  0.04,  0.00,  0.00
1981 51   0.00,  0.00,  0.08,  0.54,  1.94,  4.94,  7.27, 10.38, 12.83, 11.97, 12.59, 12.28, 10.38,  7.66,  4.78,  1.55,  0.66,  0.16,  0.00,  0.00,  0.00
