28.05.2018 0:29:24
1981 35   0.00,  0.04,  0.22,  0.93,  3.27,  9.24, 13.48, 14.89, 13.04, 11.67, 13.48,  7.56,  5.66,  3.58,  1.68,  0.75,  0.27,  0.04,  0.13,  0.09,  0.00
1981 36   0.22,  0.44,  1.55,  5.21,  9.81, 13.35, 13.52, 12.86, 11.75,  9.41,  7.91,  6.01,  3.98,  2.12,  1.06,  0.31,  0.22,  0.04,  0.13,  0.04,  0.04
1981 37   0.57,  1.28,  4.73,  9.37, 13.35, 14.67, 13.83, 11.40, 10.12,  7.38,  5.83,  3.58,  2.21,  1.02,  0.22,  0.13,  0.09,  0.13,  0.04,  0.04,  0.00
1981 38   1.19,  2.43,  5.97, 11.89, 13.21, 14.49, 13.88, 11.89,  9.01,  6.23,  4.68,  2.96,  1.10,  0.57,  0.09,  0.18,  0.18,  0.00,  0.04,  0.00,  0.00
1981 39   0.80,  1.90,  6.01, 10.21, 13.79, 14.94, 14.10, 12.90,  9.24,  6.14,  5.35,  2.47,  1.19,  0.53,  0.22,  0.13,  0.09,  0.00,  0.00,  0.00,  0.00
1981 40   0.22,  1.24,  1.94,  7.16, 11.53, 14.76, 14.54, 15.07, 11.84,  8.44,  6.67,  3.40,  1.81,  0.88,  0.27,  0.18,  0.04,  0.00,  0.00,  0.00,  0.00
1981 41   0.00,  0.13,  0.80,  2.08,  5.52,  9.81, 15.33, 16.22, 15.11, 12.33, 10.61,  5.88,  3.67,  1.81,  0.49,  0.18,  0.00,  0.04,  0.00,  0.00,  0.00
1981 42   0.00,  0.00,  0.00,  0.18,  0.97,  2.78,  5.79,  8.44, 14.89, 15.91, 17.45, 16.22,  9.99,  5.21,  1.72,  0.35,  0.09,  0.00,  0.00,  0.00,  0.00
1981 43   0.00,  0.00,  0.00,  0.04,  0.53,  1.10,  3.54,  6.36, 10.91, 14.18, 22.05, 20.33, 13.70,  5.97,  1.19,  0.09,  0.00,  0.00,  0.00,  0.00,  0.00
1981 44   0.00,  0.00,  0.00,  0.00,  0.35,  0.88,  2.52,  5.44, 10.91, 13.08, 20.15, 23.86, 16.62,  5.66,  0.53,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1981 45   0.00,  0.00,  0.00,  0.00,  0.04,  0.40,  0.93,  3.67,  4.90, 10.61, 17.59, 31.64, 22.14,  7.42,  0.62,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00
1981 46   0.00,  0.00,  0.00,  0.00,  0.00,  0.13,  0.53,  1.99,  4.15,  6.10, 14.98, 31.73, 28.02, 10.21,  2.08,  0.09,  0.00,  0.00,  0.00,  0.00,  0.00
1981 47   0.00,  0.00,  0.00,  0.00,  0.04,  0.18,  1.06,  1.90,  3.71,  6.27, 11.53, 27.00, 32.21, 13.08,  2.83,  0.18,  0.00,  0.00,  0.00,  0.00,  0.00
1981 48   0.00,  0.00,  0.00,  0.09,  0.18,  0.62,  1.59,  2.70,  4.99,  6.54, 11.18, 22.01, 29.87, 14.85,  4.68,  0.57,  0.13,  0.00,  0.00,  0.00,  0.00
1981 49   0.00,  0.00,  0.04,  0.09,  0.31,  0.88,  1.86,  4.11,  6.72,  9.41,  9.94, 20.06, 26.69, 14.54,  4.33,  0.88,  0.13,  0.00,  0.00,  0.00,  0.00
1981 50   0.00,  0.00,  0.00,  0.09,  0.18,  0.97,  2.12,  3.76,  5.83,  8.66, 11.36, 16.53, 27.75, 15.86,  5.21,  1.50,  0.18,  0.00,  0.00,  0.00,  0.00
1981 51   0.00,  0.00,  0.00,  0.00,  0.22,  0.88,  2.61,  3.98,  6.72,  9.15, 11.67, 13.92, 22.18, 17.76,  8.13,  2.17,  0.62,  0.00,  0.00,  0.00,  0.00
1981 52   0.00,  0.00,  0.00,  0.00,  0.27,  1.33,  2.30,  5.83,  8.44, 11.93, 13.74, 14.58, 14.01, 13.35,  9.28,  3.76,  0.97,  0.18,  0.04,  0.00,  0.00
1982 01   0.00,  0.00,  0.00,  0.00,  0.35,  0.93,  2.61,  5.92,  9.50, 13.52, 15.25, 16.00, 12.55,  9.90,  7.20,  4.11,  1.50,  0.49,  0.13,  0.04,  0.00
1982 02   0.00,  0.00,  0.00,  0.04,  0.31,  1.02,  3.58,  7.42, 13.61, 18.21, 18.47, 16.00, 10.52,  5.57,  3.23,  1.28,  0.49,  0.22,  0.04,  0.00,  0.00
1982 03   0.00,  0.00,  0.00,  0.04,  0.00,  1.24,  4.60, 11.14, 20.28, 24.83, 18.12, 10.74,  5.83,  2.25,  0.75,  0.13,  0.04,  0.00,  0.00,  0.00,  0.00
1982 04   0.00,  0.00,  0.00,  0.04,  0.62,  3.31, 10.96, 21.61, 24.44, 19.31, 11.00,  6.05,  1.68,  0.62,  0.09,  0.27,  0.00,  0.00,  0.00,  0.00,  0.00
1982 05   0.00,  0.00,  0.00,  0.09,  1.02,  5.83, 18.29, 25.36, 21.56, 13.52,  7.87,  3.71,  1.46,  0.93,  0.13,  0.18,  0.00,  0.04,  0.00,  0.00,  0.00
1982 06   0.00,  0.00,  0.00,  0.00,  0.49,  4.55, 20.28, 26.78, 22.18, 13.39,  6.45,  3.14,  1.90,  0.62,  0.18,  0.00,  0.00,  0.00,  0.00,  0.04,  0.00
1982 07   0.00,  0.00,  0.00,  0.00,  0.35,  7.20, 23.64, 26.96, 17.81, 12.37,  5.44,  3.67,  1.59,  0.75,  0.18,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00
1982 08   0.00,  0.00,  0.00,  0.00,  1.50, 12.37, 27.75, 25.85, 14.98,  9.10,  4.07,  2.47,  1.19,  0.53,  0.18,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 09   0.00,  0.00,  0.00,  0.04,  2.96, 16.75, 29.52, 22.67, 13.92,  6.58,  4.02,  2.34,  0.84,  0.27,  0.09,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 10   0.00,  0.00,  0.00,  0.00,  3.67, 18.87, 28.99, 23.77, 13.43,  5.52,  3.31,  1.86,  0.44,  0.09,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 11   0.00,  0.00,  0.00,  0.22,  2.43, 14.23, 25.72, 26.07, 16.00,  8.66,  3.00,  3.14,  0.44,  0.09,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 12   0.00,  0.00,  0.00,  0.18,  1.77, 12.77, 26.03, 26.38, 19.13,  7.25,  3.27,  2.56,  0.53,  0.13,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
