28.05.2018 0:37:11
1981 35   0.00,  0.00,  0.05,  0.14,  0.91,  2.53,  7.16, 13.28, 16.95, 17.62, 19.77, 10.65,  6.30,  2.53,  1.29,  0.43,  0.19,  0.10,  0.10,  0.00,  0.00
1981 36   0.00,  0.00,  0.14,  0.67,  2.39,  4.97, 10.12, 16.33, 15.90, 15.76, 13.85,  8.74,  6.06,  2.58,  1.34,  0.67,  0.14,  0.14,  0.19,  0.00,  0.00
1981 37   0.00,  0.19,  0.62,  0.81,  3.34,  7.02, 12.85, 15.28, 16.48, 14.57, 10.70,  8.12,  4.54,  2.67,  1.53,  0.48,  0.38,  0.24,  0.05,  0.14,  0.00
1981 38   0.05,  0.14,  0.72,  1.48,  3.20,  7.26, 13.13, 14.85, 15.52, 14.66, 10.89,  7.45,  4.87,  2.72,  1.72,  0.81,  0.24,  0.10,  0.00,  0.10,  0.10
1981 39   0.00,  0.10,  0.53,  1.10,  2.63,  6.35, 10.70, 15.09, 15.23, 16.43, 11.89,  8.17,  4.97,  3.20,  1.58,  1.24,  0.43,  0.19,  0.05,  0.00,  0.14
1981 40   0.00,  0.00,  0.29,  0.86,  1.24,  3.72,  7.93, 12.80, 15.28, 16.71, 15.23, 10.27,  7.21,  3.87,  2.29,  1.58,  0.19,  0.29,  0.10,  0.00,  0.14
1981 41   0.00,  0.00,  0.05,  0.29,  0.53,  1.43,  4.01,  9.60, 14.37, 17.62, 15.47, 14.47,  9.41,  5.78,  3.58,  2.05,  0.72,  0.29,  0.10,  0.10,  0.14
1981 42   0.00,  0.00,  0.00,  0.10,  0.14,  0.48,  1.24,  5.01, 10.41, 16.09, 18.43, 15.09, 12.37,  9.50,  5.54,  2.91,  1.72,  0.43,  0.19,  0.24,  0.10
1981 43   0.00,  0.00,  0.00,  0.05,  0.00,  0.43,  1.05,  4.78,  9.50, 15.85, 17.05, 16.05, 13.23,  9.84,  6.54,  2.87,  1.77,  0.38,  0.48,  0.10,  0.05
1981 44   0.00,  0.00,  0.00,  0.05,  0.14,  0.53,  4.11,  8.55, 12.18, 17.10, 14.80, 14.04, 12.08,  7.45,  4.39,  2.48,  1.53,  0.33,  0.19,  0.05,  0.00
1981 45   0.00,  0.00,  0.00,  0.19,  1.05,  3.87,  7.35, 12.89, 13.85, 15.04, 13.37, 11.37,  8.21,  5.87,  4.11,  1.86,  0.72,  0.10,  0.05,  0.10,  0.00
1981 46   0.00,  0.00,  0.10,  0.67,  3.01,  6.16, 10.03, 12.70, 12.66, 13.80,  9.84,  9.50,  8.98,  6.02,  4.01,  1.62,  0.72,  0.05,  0.05,  0.10,  0.00
1981 47   0.00,  0.00,  0.10,  0.81,  2.77,  6.35,  9.60, 12.03, 12.37, 12.94, 10.41,  8.79, 10.65,  5.92,  4.25,  1.91,  0.53,  0.33,  0.14,  0.10,  0.00
1981 48   0.00,  0.00,  0.10,  0.76,  2.39,  6.26,  8.83, 12.37, 12.32, 12.42, 11.32, 10.17, 10.70,  5.87,  3.87,  1.62,  0.53,  0.14,  0.10,  0.24,  0.00
1981 49   0.00,  0.00,  0.00,  0.62,  2.15,  5.83,  8.69, 12.85, 12.85, 13.90, 12.37, 10.98, 10.32,  5.06,  2.58,  1.05,  0.29,  0.10,  0.10,  0.19,  0.10
1981 50   0.00,  0.00,  0.00,  0.29,  1.77,  4.92,  8.69, 12.27, 15.57, 15.04, 15.19, 10.98,  8.31,  4.20,  1.67,  0.57,  0.14,  0.10,  0.19,  0.05,  0.05
1981 51   0.00,  0.00,  0.05,  0.33,  1.72,  5.35,  9.79, 14.90, 18.10, 16.95, 12.70, 10.08,  5.87,  2.34,  1.10,  0.48,  0.05,  0.14,  0.05,  0.00,  0.00
1981 52   0.00,  0.00,  0.05,  0.19,  2.20,  8.02, 13.51, 20.01, 19.01, 16.00, 10.79,  6.26,  2.34,  1.15,  0.33,  0.10,  0.05,  0.00,  0.00,  0.00,  0.00
1982 01   0.00,  0.00,  0.05,  0.29,  2.24, 12.03, 18.91, 22.87, 19.77, 12.46,  6.83,  2.96,  1.15,  0.38,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 02   0.00,  0.00,  0.00,  0.62,  5.68, 17.29, 25.98, 23.07, 15.43,  7.40,  3.25,  1.24,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 03   0.00,  0.00,  0.00,  0.67,  8.79, 22.73, 29.13, 20.77, 11.94,  4.06,  1.43,  0.43,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 04   0.00,  0.00,  0.00,  0.86, 12.94, 31.95, 31.09, 16.57,  4.97,  1.38,  0.19,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 05   0.00,  0.00,  0.00,  0.24, 14.42, 38.87, 30.52, 12.94,  2.72,  0.29,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 06   0.00,  0.00,  0.00,  0.05, 12.85, 44.99, 30.13, 10.46,  1.43,  0.10,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 07   0.00,  0.00,  0.00,  0.05, 10.17, 49.57, 28.94, 10.32,  0.81,  0.14,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 08   0.00,  0.00,  0.00,  0.00,  4.97, 42.17, 37.54, 13.23,  1.77,  0.29,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 09   0.00,  0.00,  0.00,  0.00,  2.01, 25.45, 49.14, 19.68,  3.06,  0.62,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 10   0.00,  0.00,  0.00,  0.05,  2.29, 18.24, 46.18, 28.70,  3.92,  0.53,  0.10,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 11   0.00,  0.00,  0.00,  0.10,  3.01, 23.40, 43.03, 25.45,  4.68,  0.33,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 12   0.00,  0.00,  0.00,  0.19,  4.11, 25.45, 40.59, 23.45,  5.25,  0.86,  0.10,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 13   0.00,  0.00,  0.05,  0.19,  5.21, 21.30, 37.11, 25.60,  7.93,  2.01,  0.48,  0.14,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
