11.05.2018 17:44:00
1981 35   0.00,  0.04,  0.42,  2.94,  6.50,  9.65, 13.67, 16.23, 14.01, 11.95, 11.45,  5.91,  3.40,  1.51,  1.26,  0.46,  0.13,  0.38,  0.04,  0.00,  0.04
1981 36   0.04,  0.59,  2.43,  5.91,  9.69, 12.63, 15.81, 14.60, 12.37,  9.82,  6.00,  4.70,  2.22,  1.47,  0.55,  0.67,  0.29,  0.08,  0.13,  0.00,  0.00
1981 37   0.42,  1.17,  5.12,  8.60, 11.70, 17.24, 15.44, 13.42, 11.12,  6.08,  4.28,  2.35,  1.51,  0.80,  0.34,  0.17,  0.25,  0.00,  0.00,  0.00,  0.00
1981 38   1.01,  2.39,  6.38, 11.66, 15.02, 17.70, 15.69, 11.16,  7.76,  4.87,  2.89,  1.47,  1.09,  0.34,  0.21,  0.29,  0.08,  0.00,  0.00,  0.00,  0.00
1981 39   0.76,  2.77,  6.54, 13.05, 17.28, 18.88, 16.61,  9.65,  6.84,  3.44,  1.80,  1.09,  0.71,  0.25,  0.25,  0.08,  0.00,  0.00,  0.00,  0.00,  0.00
1981 40   0.38,  1.85,  5.70, 12.21, 16.57, 21.22, 17.28, 11.54,  6.80,  3.02,  1.59,  1.01,  0.50,  0.17,  0.13,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00
1981 41   0.13,  0.34,  2.56,  8.14, 13.51, 18.75, 20.09, 16.44,  9.61,  5.24,  2.68,  1.30,  0.76,  0.25,  0.17,  0.00,  0.04,  0.00,  0.00,  0.00,  0.00
1981 42   0.00,  0.04,  0.29,  1.47,  4.57,  9.56, 13.34, 16.32, 16.36, 13.09, 11.37,  7.93,  3.36,  1.22,  0.71,  0.29,  0.04,  0.04,  0.00,  0.00,  0.00
1981 43   0.00,  0.00,  0.08,  0.38,  1.64,  4.87,  8.60, 11.62, 14.72, 14.85, 19.21, 13.34,  7.42,  2.22,  0.76,  0.21,  0.08,  0.00,  0.00,  0.00,  0.00
1981 44   0.00,  0.00,  0.04,  0.25,  1.01,  2.89,  5.66,  8.81, 11.16, 12.50, 25.71, 19.25,  9.86,  2.43,  0.34,  0.08,  0.00,  0.00,  0.00,  0.00,  0.00
1981 45   0.00,  0.00,  0.00,  0.13,  0.84,  1.38,  3.36,  6.17,  8.43,  8.64, 28.86, 27.06, 12.63,  2.22,  0.29,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1981 46   0.00,  0.00,  0.00,  0.13,  0.63,  0.92,  2.73,  4.66,  6.63,  6.71, 23.41, 31.29, 18.54,  3.82,  0.50,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00
1981 47   0.00,  0.00,  0.00,  0.13,  0.92,  1.68,  2.73,  5.08,  5.29,  6.04, 20.64, 27.60, 22.82,  5.83,  1.05,  0.21,  0.00,  0.00,  0.00,  0.00,  0.00
1981 48   0.00,  0.00,  0.04,  0.50,  0.88,  2.73,  2.89,  3.69,  5.08,  6.00, 16.95, 23.99, 22.94, 10.82,  2.64,  0.80,  0.04,  0.00,  0.00,  0.00,  0.00
1981 49   0.00,  0.00,  0.08,  0.25,  0.76,  2.39,  2.81,  2.98,  3.98,  5.58, 14.68, 23.36, 23.70, 13.05,  4.87,  1.38,  0.08,  0.04,  0.00,  0.00,  0.00
1981 50   0.00,  0.04,  0.00,  0.25,  0.63,  1.17,  2.18,  3.15,  3.48,  4.57, 10.82, 21.27, 26.89, 15.73,  6.59,  2.89,  0.29,  0.00,  0.04,  0.00,  0.00
1981 51   0.00,  0.00,  0.04,  0.21,  0.55,  0.71,  1.34,  1.97,  3.15,  5.75, 10.61, 16.82, 26.13, 20.30,  8.56,  3.19,  0.55,  0.08,  0.04,  0.00,  0.00
1981 52   0.00,  0.00,  0.00,  0.04,  0.25,  0.71,  1.22,  1.89,  3.10,  6.29, 11.33, 14.05, 16.40, 22.69, 14.51,  5.91,  1.38,  0.21,  0.00,  0.00,  0.00
1982 01   0.00,  0.00,  0.00,  0.00,  0.13,  0.71,  1.47,  2.60,  5.49,  8.77, 13.09, 13.88, 15.23, 16.11, 14.56,  6.08,  1.47,  0.38,  0.04,  0.00,  0.00
1982 02   0.00,  0.00,  0.00,  0.04,  0.13,  0.84,  1.97,  4.28, 10.15, 13.76, 16.61, 14.09, 11.66, 11.83,  9.86,  4.03,  0.63,  0.13,  0.00,  0.00,  0.00
1982 03   0.00,  0.00,  0.00,  0.00,  0.17,  0.88,  3.86,  9.48, 15.98, 17.91, 17.91, 12.00,  9.19,  7.21,  3.73,  1.43,  0.25,  0.00,  0.00,  0.00,  0.00
1982 04   0.00,  0.00,  0.00,  0.08,  0.88,  3.98, 10.82, 20.34, 21.22, 17.53, 11.83,  7.34,  3.57,  1.51,  0.67,  0.21,  0.00,  0.00,  0.00,  0.00,  0.00
1982 05   0.00,  0.00,  0.00,  0.25,  1.34,  7.21, 18.37, 25.00, 21.69, 14.43,  7.21,  3.23,  0.88,  0.38,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 06   0.00,  0.00,  0.00,  0.04,  0.96,  7.84, 22.44, 29.11, 19.80, 11.70,  6.04,  1.93,  0.13,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 07   0.00,  0.00,  0.00,  0.00,  0.80, 10.91, 27.68, 26.55, 17.49,  9.27,  4.95,  2.27,  0.08,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 08   0.00,  0.00,  0.00,  0.08,  2.73, 14.85, 29.24, 27.35, 15.73,  5.37,  3.23,  1.34,  0.04,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 09   0.00,  0.00,  0.00,  0.34,  5.24, 21.77, 31.08, 23.74, 11.37,  3.78,  2.14,  0.50,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 10   0.00,  0.00,  0.00,  0.29,  7.47, 27.01, 31.71, 19.80,  8.18,  3.31,  2.06,  0.17,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 11   0.00,  0.00,  0.00,  0.50, 10.44, 24.83, 29.24, 19.34, 10.32,  3.65,  1.51,  0.17,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 12   0.00,  0.00,  0.00,  0.17,  6.75, 25.50, 31.46, 21.73, 10.03,  3.57,  0.55,  0.21,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 13   0.00,  0.00,  0.00,  0.34,  8.56, 31.46, 32.21, 17.66,  6.88,  2.01,  0.67,  0.21,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
