11.05.2018 17:44:10
1981 35   0.00,  0.00,  0.00,  0.26,  0.42,  2.24,  4.26,  9.78, 13.83, 14.56, 18.72, 14.66,  9.83,  5.25,  3.07,  2.03,  0.57,  0.36,  0.05,  0.10,  0.00
1981 36   0.00,  0.00,  0.21,  0.31,  1.61,  4.11,  8.53, 11.91, 14.51, 15.86, 14.72, 11.49,  6.97,  4.26,  2.44,  1.92,  0.73,  0.21,  0.16,  0.05,  0.00
1981 37   0.00,  0.10,  0.31,  0.57,  2.65,  6.60, 11.44, 12.64, 16.54, 15.18, 12.48,  9.10,  5.15,  2.76,  2.29,  1.25,  0.57,  0.26,  0.10,  0.00,  0.00
1981 38   0.00,  0.05,  0.36,  0.57,  2.91,  5.67,  9.67, 14.40, 15.65, 16.12, 14.46,  8.11,  4.99,  3.43,  2.03,  1.09,  0.31,  0.10,  0.05,  0.00,  0.00
1981 39   0.00,  0.10,  0.21,  0.36,  1.77,  4.32,  8.74, 11.44, 15.65, 17.06, 15.76, 10.66,  6.92,  3.69,  2.03,  0.99,  0.16,  0.16,  0.00,  0.00,  0.00
1981 40   0.00,  0.00,  0.21,  0.47,  0.62,  3.90,  7.33, 10.04, 13.52, 14.72, 17.00, 13.00,  9.72,  5.67,  2.18,  0.94,  0.57,  0.05,  0.05,  0.00,  0.00
1981 41   0.00,  0.00,  0.05,  0.36,  0.94,  2.70,  5.82,  8.63, 12.95, 13.78, 15.18, 14.04, 11.13,  7.49,  4.47,  1.66,  0.62,  0.16,  0.00,  0.00,  0.00
1981 42   0.00,  0.00,  0.00,  0.05,  0.68,  2.34,  4.42,  8.74, 12.95, 13.78, 14.40, 14.61, 10.30,  8.74,  5.36,  2.81,  0.62,  0.10,  0.10,  0.00,  0.00
1981 43   0.00,  0.00,  0.00,  0.21,  0.68,  2.86,  6.76,  9.72, 12.32, 15.86, 15.86, 10.87, 10.24,  6.81,  4.89,  1.82,  0.78,  0.31,  0.00,  0.00,  0.00
1981 44   0.00,  0.00,  0.05,  0.31,  0.88,  3.90,  7.85, 11.23, 16.28, 15.65, 14.30, 10.92,  8.68,  5.36,  3.12,  1.09,  0.26,  0.10,  0.00,  0.00,  0.00
1981 45   0.00,  0.00,  0.00,  0.57,  1.82,  4.99, 11.28, 16.02, 17.11, 14.09, 12.74, 10.76,  5.88,  3.17,  1.20,  0.26,  0.10,  0.00,  0.00,  0.00,  0.00
1981 46   0.00,  0.00,  0.10,  1.09,  4.42, 11.28, 16.22, 15.50, 14.09, 12.06,  9.78,  8.16,  4.42,  2.34,  0.31,  0.16,  0.05,  0.00,  0.00,  0.00,  0.00
