28.05.2018 0:37:28
1981 35   0.00,  0.00,  0.08,  0.28,  1.31,  2.86,  6.72,  9.66, 11.41, 14.12, 16.82, 12.29,  9.11,  5.49,  3.62,  2.11,  1.43,  1.15,  0.95,  0.36,  0.24
1981 36   0.04,  0.00,  0.20,  0.48,  2.07,  3.62,  6.80, 10.70, 12.92, 14.55, 15.39, 10.58,  7.83,  6.08,  2.82,  1.99,  1.35,  0.72,  1.07,  0.68,  0.12
1981 37   0.00,  0.08,  0.20,  0.72,  1.79,  3.50,  7.55, 11.77, 13.36, 14.67, 14.51, 11.21,  7.51,  5.53,  2.78,  1.43,  1.07,  1.03,  0.76,  0.48,  0.04
1981 38   0.00,  0.04,  0.24,  0.32,  1.35,  3.42,  6.44, 11.69, 12.88, 14.16, 15.31, 12.56,  8.39,  5.81,  2.78,  1.75,  1.27,  0.80,  0.60,  0.16,  0.04
1981 39   0.00,  0.08,  0.04,  0.40,  1.07,  2.31,  5.13,  9.03, 11.97, 13.84, 15.98, 12.72, 12.09,  6.44,  3.58,  2.82,  1.39,  0.68,  0.32,  0.08,  0.04
1981 40   0.00,  0.04,  0.08,  0.32,  1.15,  2.35,  5.49,  8.03, 10.78, 12.25, 15.31, 13.40, 12.41,  8.59,  4.93,  2.78,  1.23,  0.52,  0.24,  0.12,  0.00
1981 41   0.00,  0.00,  0.16,  0.40,  1.75,  4.10,  5.45,  8.23, 10.34, 11.41, 14.35, 14.39, 11.17,  8.43,  5.05,  2.90,  1.15,  0.44,  0.16,  0.08,  0.04
1981 42   0.00,  0.00,  0.08,  0.24,  1.55,  4.17,  5.69,  8.35, 10.22, 10.02, 13.52, 12.49, 12.21,  9.26,  7.08,  2.86,  1.47,  0.60,  0.20,  0.00,  0.00
1981 43   0.00,  0.00,  0.04,  0.28,  1.67,  3.90,  6.68,  8.03, 10.38, 10.50, 13.12, 11.29, 11.09, 10.02,  6.72,  3.82,  1.67,  0.72,  0.08,  0.00,  0.00
1981 44   0.00,  0.00,  0.04,  0.28,  1.91,  4.33,  7.75, 10.54, 11.73, 11.13, 15.19, 11.13,  9.74,  8.07,  4.81,  2.27,  0.80,  0.20,  0.08,  0.00,  0.00
1981 45   0.00,  0.00,  0.04,  0.48,  1.99,  5.09,  9.15, 12.88, 12.37, 14.75, 15.79, 10.38,  8.07,  5.81,  2.35,  0.68,  0.16,  0.04,  0.00,  0.00,  0.00
1981 46   0.00,  0.00,  0.00,  0.52,  2.23,  6.24, 10.62, 12.76, 13.84, 15.11, 14.67, 10.26,  8.23,  4.37,  0.91,  0.16,  0.08,  0.00,  0.00,  0.00,  0.00
1981 47   0.00,  0.00,  0.00,  0.48,  2.27,  5.33,  9.82, 12.13, 14.79, 15.47, 13.60, 11.61,  7.59,  5.37,  1.15,  0.40,  0.00,  0.00,  0.00,  0.00,  0.00
1981 48   0.00,  0.00,  0.04,  0.40,  1.35,  5.17,  9.07, 11.93, 16.30, 15.31, 15.11, 10.58,  7.95,  4.29,  1.75,  0.72,  0.04,  0.00,  0.00,  0.00,  0.00
1981 49   0.00,  0.00,  0.08,  0.52,  2.03,  5.45,  9.94, 15.63, 18.17, 16.74, 13.60,  8.67,  5.29,  2.27,  1.27,  0.28,  0.08,  0.00,  0.00,  0.00,  0.00
1981 50   0.00,  0.00,  0.04,  0.56,  1.79,  5.53, 10.62, 15.71, 19.56, 18.53, 12.17,  7.79,  4.65,  2.19,  0.68,  0.16,  0.04,  0.00,  0.00,  0.00,  0.00
1981 51   0.00,  0.00,  0.00,  0.20,  1.67,  6.32, 12.17, 16.26, 20.64, 17.42, 11.93,  7.55,  3.90,  1.59,  0.24,  0.08,  0.04,  0.00,  0.00,  0.00,  0.00
1981 52   0.00,  0.00,  0.04,  0.20,  1.91,  7.28, 14.99, 20.24, 22.47, 14.55, 10.06,  5.37,  2.11,  0.64,  0.16,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 01   0.00,  0.00,  0.00,  0.16,  2.62,  9.07, 18.41, 25.21, 19.17, 13.64,  7.16,  3.54,  0.91,  0.12,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 02   0.00,  0.00,  0.04,  0.12,  2.35, 11.33, 20.76, 26.48, 20.44, 11.49,  4.73,  2.03,  0.24,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 03   0.00,  0.00,  0.00,  0.08,  1.91, 12.33, 24.21, 29.38, 19.36,  8.31,  3.78,  0.52,  0.12,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 04   0.00,  0.00,  0.00,  0.04,  2.43, 13.96, 30.70, 32.37, 14.39,  5.09,  0.83,  0.20,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 05   0.00,  0.00,  0.00,  0.28,  4.65, 18.45, 37.89, 25.65, 10.26,  2.50,  0.32,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 06   0.00,  0.00,  0.00,  0.36,  6.00, 21.71, 35.55, 23.58,  9.18,  3.06,  0.56,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 07   0.00,  0.00,  0.00,  0.95,  8.43, 26.28, 33.84, 18.05,  8.63,  3.22,  0.56,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 08   0.00,  0.00,  0.00,  0.83,  9.22, 28.11, 32.76, 17.42,  7.59,  3.58,  0.48,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 09   0.00,  0.00,  0.00,  0.52,  8.11, 25.65, 34.35, 17.81,  8.79,  3.82,  0.91,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 10   0.00,  0.00,  0.00,  0.36,  8.15, 27.28, 36.22, 17.61,  7.36,  2.31,  0.64,  0.08,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 11   0.00,  0.00,  0.00,  0.24,  5.53, 23.10, 37.65, 22.74,  8.31,  1.95,  0.32,  0.16,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 12   0.00,  0.00,  0.04,  0.76,  6.84, 22.23, 34.51, 22.23,  9.74,  2.90,  0.56,  0.16,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 13   0.00,  0.00,  0.16,  1.95, 11.69, 25.61, 26.96, 19.60,  9.70,  2.78,  1.31,  0.16,  0.08,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 14   0.00,  0.00,  0.40,  3.10, 12.96, 22.90, 23.98, 19.05, 10.74,  4.10,  1.75,  0.76,  0.16,  0.12,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 15   0.00,  0.00,  0.24,  1.91,  8.35, 16.62, 19.76, 21.55, 13.76,  9.70,  4.69,  2.50,  0.72,  0.20,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 16   0.00,  0.00,  0.16,  0.91,  3.42,  7.24, 13.20, 16.62, 18.45, 12.96, 14.79,  8.43,  3.10,  0.72,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 17   0.00,  0.00,  0.12,  0.32,  1.23,  3.54,  6.04,  9.11, 13.68, 13.20, 23.94, 18.09,  7.79,  2.66,  0.20,  0.08,  0.00,  0.00,  0.00,  0.00,  0.00
1982 18   0.00,  0.04,  0.08,  0.36,  0.80,  2.54,  4.61,  8.47, 10.89, 13.92, 25.45, 19.13,  9.70,  3.58,  0.44,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 19   0.00,  0.00,  0.12,  0.48,  0.95,  3.26,  5.81,  9.18, 14.16, 16.02, 21.39, 15.43,  9.11,  3.38,  0.60,  0.08,  0.04,  0.00,  0.00,  0.00,  0.00
1982 20   0.00,  0.00,  0.08,  0.16,  1.31,  3.02,  5.96, 11.05, 15.15, 18.65, 18.85, 12.88,  7.51,  4.21,  0.99,  0.08,  0.08,  0.00,  0.00,  0.00,  0.00
1982 21   0.00,  0.00,  0.00,  0.08,  0.52,  1.99,  5.09, 10.66, 15.67, 16.06, 20.87, 13.32,  8.95,  5.05,  1.35,  0.40,  0.00,  0.00,  0.00,  0.00,  0.00
1982 22   0.00,  0.00,  0.00,  0.00,  0.00,  0.80,  2.43,  8.51, 12.96, 16.62, 19.60, 16.58, 11.61,  7.12,  2.94,  0.80,  0.04,  0.00,  0.00,  0.00,  0.00
1982 23   0.00,  0.00,  0.00,  0.00,  0.04,  0.12,  1.31,  4.29, 10.30, 14.75, 20.04, 16.86, 14.71, 10.85,  4.89,  1.63,  0.20,  0.00,  0.00,  0.00,  0.00
1982 24   0.00,  0.00,  0.00,  0.00,  0.04,  0.04,  0.91,  3.18,  7.95, 14.04, 18.49, 17.93, 16.58, 11.45,  6.52,  2.23,  0.64,  0.00,  0.00,  0.00,  0.00
1982 25   0.00,  0.00,  0.00,  0.00,  0.04,  0.00,  0.36,  1.87,  5.01,  9.54, 17.30, 18.01, 19.09, 14.99,  8.99,  3.38,  1.23,  0.20,  0.00,  0.00,  0.00
1982 26   0.00,  0.00,  0.00,  0.00,  0.04,  0.00,  0.12,  1.19,  3.26,  6.20, 13.76, 17.02, 20.91, 17.85, 12.01,  5.45,  1.47,  0.64,  0.08,  0.00,  0.00
1982 27   0.00,  0.00,  0.00,  0.00,  0.00,  0.08,  0.12,  0.72,  2.23,  5.13, 10.89, 15.47, 21.27, 20.04, 14.59,  6.48,  2.27,  0.56,  0.12,  0.04,  0.00
1982 28   0.00,  0.00,  0.00,  0.00,  0.00,  0.08,  0.04,  0.60,  2.23,  4.69,  9.70, 15.83, 21.43, 20.48, 14.71,  7.55,  1.95,  0.52,  0.16,  0.00,  0.04
1982 29   0.00,  0.00,  0.00,  0.00,  0.00,  0.08,  0.12,  0.68,  2.07,  4.29,  8.39, 15.19, 21.59, 18.57, 15.79,  9.30,  2.70,  0.99,  0.16,  0.04,  0.04
1982 30   0.00,  0.00,  0.00,  0.00,  0.04,  0.08,  0.20,  0.87,  2.35,  5.69,  8.67, 15.71, 20.60, 18.93, 14.67,  7.75,  3.22,  0.87,  0.24,  0.08,  0.04
1982 31   0.00,  0.00,  0.00,  0.00,  0.04,  0.24,  0.52,  1.55,  4.02,  6.96, 11.41, 17.46, 19.05, 18.41, 11.37,  5.09,  2.58,  0.87,  0.20,  0.20,  0.04
1982 32   0.00,  0.00,  0.04,  0.00,  0.16,  0.56,  1.07,  3.18,  5.73,  9.07, 14.00, 17.30, 19.76, 14.67,  7.32,  4.29,  1.83,  0.48,  0.40,  0.12,  0.04
1982 33   0.00,  0.04,  0.00,  0.04,  0.36,  0.76,  2.19,  4.41,  7.16, 11.61, 14.95, 18.29, 17.46, 11.65,  5.53,  3.82,  0.95,  0.40,  0.28,  0.12,  0.00
1982 34   0.04,  0.00,  0.08,  0.24,  0.60,  1.55,  2.86,  6.04,  9.86, 11.89, 16.22, 18.73, 14.35,  8.83,  4.97,  2.11,  0.87,  0.56,  0.16,  0.04,  0.00
1982 35   0.08,  0.12,  0.12,  0.68,  1.63,  2.70,  4.81,  8.19, 11.29, 14.19, 16.74, 16.02, 11.05,  6.00,  3.22,  1.75,  0.91,  0.36,  0.08,  0.04,  0.00
1982 36   0.16,  0.32,  0.44,  1.71,  2.90,  5.41,  8.11, 11.37, 13.64, 15.71, 14.51, 10.89,  7.28,  4.14,  1.67,  0.91,  0.56,  0.20,  0.08,  0.00,  0.00
1982 37   0.32,  0.80,  1.47,  2.94,  5.84,  8.27, 10.74, 15.43, 14.99, 13.56, 10.82,  7.24,  3.78,  1.87,  1.03,  0.32,  0.44,  0.12,  0.04,  0.00,  0.00
1982 38   0.83,  1.07,  2.35,  4.61,  7.04, 10.42, 12.88, 16.22, 13.76, 11.25,  9.03,  5.29,  2.47,  1.63,  0.36,  0.44,  0.24,  0.08,  0.04,  0.00,  0.00
1982 39   0.68,  1.43,  2.90,  5.37,  8.59, 11.05, 14.75, 14.55, 13.40, 10.58,  7.32,  4.85,  2.50,  1.07,  0.28,  0.40,  0.16,  0.12,  0.00,  0.00,  0.00
1982 40   0.80,  2.39,  4.14,  7.67, 10.62, 13.64, 14.43, 12.68, 10.85,  9.98,  6.60,  3.02,  1.71,  0.83,  0.36,  0.24,  0.04,  0.00,  0.00,  0.00,  0.00
1982 41   2.50,  4.73,  7.24, 11.85, 13.96, 14.83, 12.80, 11.57,  9.66,  6.24,  2.66,  0.95,  0.68,  0.16,  0.16,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 42   2.66,  6.44, 11.13, 13.44, 14.91, 13.08, 13.68, 10.97,  7.16,  4.14,  1.39,  0.64,  0.28,  0.04,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 43   1.19,  5.53, 11.61, 13.36, 13.52, 14.59, 14.67, 11.57,  7.51,  4.37,  1.35,  0.40,  0.28,  0.00,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 44   0.99,  7.40, 14.35, 15.79, 16.14, 16.42, 12.52,  9.22,  5.13,  1.35,  0.44,  0.20,  0.00,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 45   2.50, 11.05, 16.66, 17.85, 16.46, 15.35,  9.82,  6.28,  2.90,  0.87,  0.16,  0.04,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 46   0.99,  7.16, 15.86, 18.49, 18.13, 15.43, 11.85,  6.20,  3.86,  1.43,  0.40,  0.16,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 47   0.24,  3.38, 11.01, 16.78, 17.85, 15.07, 12.96, 10.02,  6.24,  3.46,  1.95,  0.83,  0.20,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 48   0.12,  1.31,  7.08, 13.00, 16.74, 14.79, 10.18,  8.95,  8.99,  8.71,  6.24,  3.14,  0.72,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
