28.05.2018 0:37:36
1981 35   0.00,  0.00,  0.00,  0.00,  0.28,  0.40,  1.55,  3.73,  8.82, 15.21, 38.44, 14.54,  9.09,  4.41,  1.87,  1.39,  0.24,  0.04,  0.00,  0.00,  0.00
1981 36   0.00,  0.00,  0.00,  0.12,  0.48,  1.51,  4.73,  8.74, 13.42, 16.36, 20.85, 13.50, 10.01,  5.36,  2.46,  1.55,  0.71,  0.16,  0.04,  0.00,  0.00
1981 37   0.00,  0.00,  0.04,  0.24,  1.23,  3.10,  7.11, 11.36, 14.65, 17.28, 16.12, 12.03,  8.14,  4.41,  2.50,  1.07,  0.48,  0.20,  0.00,  0.00,  0.04
1981 38   0.00,  0.00,  0.08,  0.32,  0.99,  2.46,  6.51, 11.44, 15.13, 16.80, 17.24, 12.51,  8.06,  4.37,  2.30,  1.03,  0.64,  0.12,  0.00,  0.00,  0.00
1981 39   0.00,  0.00,  0.00,  0.24,  0.68,  1.91,  5.32, 10.33, 15.57, 17.87, 15.69, 13.70,  8.82,  5.76,  2.10,  1.59,  0.40,  0.04,  0.00,  0.00,  0.00
1981 40   0.00,  0.00,  0.00,  0.16,  0.44,  1.43,  3.46,  7.59, 12.55, 18.27, 16.40, 15.09, 10.64,  7.35,  3.97,  1.87,  0.68,  0.12,  0.00,  0.00,  0.00
1981 41   0.00,  0.00,  0.00,  0.00,  0.16,  0.40,  1.39,  4.29,  7.15, 14.93, 17.79, 16.32, 14.77, 10.44,  7.23,  3.18,  1.35,  0.44,  0.12,  0.00,  0.04
1981 42   0.00,  0.00,  0.00,  0.00,  0.00,  0.08,  0.36,  1.39,  3.42,  7.90, 13.19, 17.00, 16.84, 15.29, 10.96,  7.19,  4.29,  1.43,  0.56,  0.12,  0.00
1981 43   0.00,  0.00,  0.00,  0.00,  0.00,  0.04,  0.24,  0.95,  2.74,  4.92, 10.72, 14.02, 16.56, 14.61, 13.34, 10.29,  6.79,  3.14,  1.11,  0.44,  0.08
1981 44   0.00,  0.00,  0.00,  0.00,  0.04,  0.16,  0.60,  2.10,  3.65,  8.82, 11.20, 14.85, 15.57, 13.50, 11.64,  8.58,  5.28,  2.22,  1.11,  0.44,  0.24
1981 45   0.00,  0.00,  0.00,  0.00,  0.04,  0.20,  0.83,  2.62,  4.65,  8.78, 13.78, 14.54, 14.65, 13.50, 11.68,  8.50,  3.73,  1.23,  0.87,  0.32,  0.08
1981 46   0.00,  0.00,  0.00,  0.00,  0.08,  0.32,  1.47,  3.46,  6.16,  8.94, 14.14, 13.86, 13.22, 14.46, 11.91,  7.31,  3.38,  0.91,  0.32,  0.08,  0.00
1981 47   0.00,  0.00,  0.00,  0.04,  0.36,  0.87,  2.78,  4.41,  7.35,  9.93, 12.07, 13.70, 13.19, 11.91, 10.76,  7.74,  3.85,  0.83,  0.20,  0.00,  0.00
1981 48   0.00,  0.00,  0.04,  0.12,  0.36,  1.31,  2.42,  4.88,  6.87,  9.05, 10.80, 13.19, 12.63, 14.50, 11.40,  7.11,  3.89,  1.27,  0.16,  0.00,  0.00
1981 49   0.00,  0.00,  0.00,  0.20,  0.12,  1.43,  2.54,  5.04,  6.47,  9.09, 10.56, 12.95, 14.30, 15.45, 11.95,  6.16,  2.70,  0.79,  0.16,  0.08,  0.00
1981 50   0.00,  0.00,  0.04,  0.24,  0.28,  1.51,  2.18,  5.28,  6.20,  8.34, 11.68, 14.14, 15.05, 14.97, 11.04,  5.88,  2.30,  0.64,  0.20,  0.04,  0.00
1981 51   0.00,  0.00,  0.04,  0.08,  0.40,  0.95,  1.99,  3.93,  6.95,  8.90, 13.34, 16.04, 16.84, 13.74,  9.49,  4.41,  2.14,  0.68,  0.08,  0.00,  0.00
1981 52   0.00,  0.00,  0.00,  0.04,  0.32,  0.68,  1.83,  4.61,  8.14, 12.47, 15.89, 18.11, 15.29, 10.76,  6.99,  3.53,  1.07,  0.24,  0.04,  0.00,  0.00
1982 01   0.00,  0.00,  0.00,  0.04,  0.12,  0.75,  2.50,  6.04, 12.15, 16.64, 17.20, 15.65, 11.72,  8.82,  4.53,  2.90,  0.83,  0.12,  0.00,  0.00,  0.00
1982 02   0.00,  0.00,  0.04,  0.00,  0.32,  1.63,  5.40, 13.50, 17.67, 19.62, 17.28, 11.76,  7.31,  3.61,  1.35,  0.48,  0.04,  0.00,  0.00,  0.00,  0.00
1982 03   0.00,  0.00,  0.00,  0.08,  0.44,  2.82,  9.89, 19.22, 21.17, 20.73, 13.50,  8.22,  2.70,  1.03,  0.16,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00
1982 04   0.00,  0.00,  0.00,  0.00,  0.52,  3.69, 15.97, 22.99, 24.07, 17.91, 10.25,  3.65,  0.79,  0.12,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 05   0.00,  0.00,  0.00,  0.00,  0.36,  5.00, 21.37, 29.55, 25.26, 13.70,  3.53,  1.03,  0.16,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 06   0.00,  0.00,  0.00,  0.00,  0.68, 10.56, 33.36, 33.44, 16.68,  4.21,  0.91,  0.12,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 07   0.00,  0.00,  0.00,  0.00,  2.70, 28.47, 41.42, 21.72,  4.61,  0.87,  0.20,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 08   0.00,  0.00,  0.00,  0.04,  4.29, 40.23, 41.30, 11.95,  1.91,  0.16,  0.12,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 09   0.00,  0.00,  0.00,  0.08,  6.31, 42.34, 39.16, 10.29,  1.63,  0.08,  0.12,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 10   0.00,  0.00,  0.00,  0.44, 10.33, 37.17, 33.72, 14.93,  2.78,  0.48,  0.16,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 11   0.00,  0.00,  0.00,  1.47, 10.52, 29.03, 31.41, 19.54,  6.47,  1.23,  0.20,  0.12,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 12   0.00,  0.00,  0.00,  0.91,  5.52, 17.12, 29.07, 26.73, 14.73,  4.77,  0.68,  0.36,  0.12,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 13   0.00,  0.00,  0.04,  0.68,  3.06,  9.77, 21.37, 26.93, 23.23, 10.44,  3.06,  1.07,  0.36,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 14   0.00,  0.00,  0.12,  0.56,  2.34,  7.31, 16.80, 24.70, 25.18, 14.85,  5.44,  1.91,  0.48,  0.24,  0.04,  0.04,  0.00,  0.00,  0.00,  0.00,  0.00
1982 15   0.00,  0.00,  0.16,  0.56,  1.75,  5.92, 13.26, 22.08, 23.99, 16.76,  9.29,  4.33,  1.23,  0.60,  0.08,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 16   0.00,  0.00,  0.04,  0.44,  0.75,  3.18,  7.63, 14.65, 20.81, 20.57, 17.20,  9.49,  3.89,  1.15,  0.20,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 17   0.00,  0.00,  0.00,  0.08,  0.28,  1.07,  2.58,  5.84, 11.68, 16.12, 27.05, 19.70,  9.93,  4.09,  1.35,  0.24,  0.00,  0.00,  0.00,  0.00,  0.00
1982 18   0.00,  0.00,  0.00,  0.00,  0.08,  0.28,  0.83,  2.62,  4.13,  9.57, 22.00, 20.69, 18.94, 12.55,  5.56,  2.22,  0.48,  0.04,  0.00,  0.00,  0.00
1982 19   0.00,  0.00,  0.00,  0.04,  0.00,  0.16,  0.56,  1.79,  3.85,  6.75, 14.69, 16.68, 18.23, 17.75, 11.20,  5.60,  2.46,  0.24,  0.00,  0.00,  0.00
