28.05.2018 0:37:56
1981 35   0.00,  0.00,  0.00,  0.28,  0.09,  0.47,  2.05,  4.38,  7.36, 10.89, 17.88, 12.94, 13.22, 12.01,  8.94,  4.75,  2.70,  1.40,  0.47,  0.19,  0.00
1981 36   0.00,  0.09,  0.19,  0.74,  1.30,  1.68,  4.56,  7.91, 11.17, 13.78, 16.20, 11.45,  9.40,  8.19,  6.24,  3.54,  2.23,  0.74,  0.47,  0.09,  0.00
1981 37   0.00,  0.09,  0.65,  0.74,  2.23,  3.45,  6.89,  9.50, 16.67, 16.01, 12.48,  9.59,  6.80,  4.19,  5.12,  3.07,  1.49,  0.65,  0.28,  0.09,  0.00
1981 38   0.00,  0.65,  0.47,  1.40,  3.72,  5.03,  8.38, 15.74, 14.71, 16.39, 11.36,  6.24,  5.03,  3.54,  2.79,  2.70,  1.02,  0.56,  0.28,  0.00,  0.00
1981 39   0.00,  0.37,  0.47,  1.77,  4.10,  8.47, 13.97, 17.23, 15.46, 12.76,  7.91,  5.40,  4.19,  3.07,  2.23,  1.30,  0.93,  0.28,  0.09,  0.00,  0.00
1981 40   0.09,  0.19,  0.37,  2.89,  5.96, 12.76, 18.16, 16.67, 12.94,  8.01,  6.70,  4.47,  3.91,  2.89,  1.77,  1.21,  0.65,  0.28,  0.09,  0.00,  0.00
1981 41   0.00,  0.09,  0.47,  2.61,  7.73, 14.25, 18.06, 16.11, 13.04,  8.01,  3.91,  4.75,  2.42,  3.72,  1.68,  1.86,  0.84,  0.28,  0.19,  0.00,  0.00
1981 42   0.00,  0.00,  0.00,  1.77,  5.31, 11.64, 16.29, 16.85, 14.06,  9.40,  5.77,  5.03,  3.45,  3.07,  2.89,  2.42,  1.21,  0.47,  0.37,  0.00,  0.00
1981 43   0.00,  0.00,  0.00,  0.09,  1.30,  3.54,  9.50, 14.15, 13.78, 13.97, 11.92,  8.57,  6.15,  4.66,  3.63,  3.45,  2.14,  2.14,  0.84,  0.09,  0.09
1981 44   0.00,  0.00,  0.00,  0.00,  0.09,  0.65,  3.54,  9.87, 14.62, 13.87, 13.04, 13.04,  8.94,  6.98,  5.59,  5.12,  2.51,  1.12,  0.84,  0.19,  0.00
1981 45   0.00,  0.00,  0.00,  0.00,  0.09,  0.93,  3.26, 10.43, 14.34, 15.46, 12.85, 12.76,  8.57,  7.08,  6.33,  4.10,  2.70,  0.74,  0.37,  0.00,  0.00
1981 46   0.00,  0.00,  0.00,  0.00,  0.09,  0.84,  4.84,  7.45, 13.87, 13.97, 16.29, 12.57,  8.57,  9.68,  5.59,  4.10,  1.86,  0.28,  0.00,  0.00,  0.00
1981 47   0.00,  0.00,  0.00,  0.00,  0.00,  0.47,  2.23,  5.21,  6.80, 12.20, 20.48, 15.46, 14.62, 13.59,  5.59,  2.79,  0.47,  0.09,  0.00,  0.00,  0.00
1981 48   0.00,  0.00,  0.00,  0.00,  0.00,  0.09,  0.93,  2.89,  4.28,  5.49, 16.76, 23.18, 27.65, 13.22,  4.84,  0.56,  0.09,  0.00,  0.00,  0.00,  0.00
1981 49   0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.56,  0.93,  2.89,  5.49, 15.55, 29.05, 32.31, 11.82,  1.30,  0.09,  0.00,  0.00,  0.00,  0.00,  0.00
1981 50   0.00,  0.00,  0.00,  0.00,  0.00,  0.09,  0.28,  0.84,  3.82,  4.75, 21.60, 36.31, 25.88,  5.68,  0.74,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1981 51   0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.28,  1.40,  3.26,  5.59, 21.97, 41.71, 19.93,  4.47,  1.30,  0.09,  0.00,  0.00,  0.00,  0.00,  0.00
1981 52   0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.93,  1.58,  4.38,  6.42, 21.88, 39.57, 17.88,  4.66,  1.96,  0.65,  0.09,  0.00,  0.00,  0.00,  0.00
1982 01   0.00,  0.00,  0.00,  0.00,  0.00,  0.09,  1.30,  2.51,  6.89, 10.06, 26.72, 34.54, 12.66,  3.63,  1.02,  0.37,  0.09,  0.09,  0.00,  0.00,  0.00
1982 02   0.00,  0.00,  0.00,  0.00,  0.09,  0.84,  2.98,  6.42, 10.80, 15.55, 28.86, 25.14,  6.33,  1.77,  0.84,  0.28,  0.09,  0.00,  0.00,  0.00,  0.00
