28.05.2018 0:37:40
1981 35   0.00,  0.00,  0.00,  0.00,  0.11,  0.11,  0.50,  1.72,  3.93,  6.31, 47.45, 10.41,  9.08,  8.53,  4.71,  3.49,  2.10,  1.00,  0.44,  0.11,  0.00
1981 36   0.00,  0.00,  0.00,  0.22,  0.94,  1.61,  4.76,  8.25, 13.23, 13.95, 20.16, 12.62, 10.58,  6.04,  4.04,  2.10,  0.89,  0.55,  0.06,  0.00,  0.00
1981 37   0.00,  0.00,  0.44,  1.38,  2.88,  6.15, 11.07, 15.23, 15.39, 14.29, 12.18,  8.47,  5.65,  3.82,  2.05,  0.83,  0.17,  0.00,  0.00,  0.00,  0.00
1981 38   0.06,  0.50,  0.89,  2.77,  6.92,  8.80, 14.23, 15.28, 15.50, 13.68,  9.58,  5.54,  3.32,  1.99,  0.50,  0.44,  0.00,  0.00,  0.00,  0.00,  0.00
1981 39   0.06,  0.22,  1.11,  4.32,  8.36, 13.23, 15.45, 17.33, 14.01, 10.52,  7.64,  3.99,  1.99,  1.00,  0.61,  0.11,  0.06,  0.00,  0.00,  0.00,  0.00
1981 40   0.00,  0.17,  0.78,  2.60,  7.75, 13.79, 17.00, 18.60, 15.28, 10.47,  7.09,  3.93,  1.11,  1.16,  0.22,  0.06,  0.00,  0.00,  0.00,  0.00,  0.00
1981 41   0.00,  0.06,  0.22,  1.38,  3.93,  8.97, 15.39, 17.33, 18.77, 14.06,  8.47,  6.15,  3.38,  1.33,  0.44,  0.11,  0.00,  0.00,  0.00,  0.00,  0.00
1981 42   0.00,  0.00,  0.00,  0.17,  0.72,  2.60,  7.20, 11.35, 18.66, 20.65, 16.67, 10.58,  5.59,  3.60,  1.44,  0.55,  0.22,  0.00,  0.00,  0.00,  0.00
1981 43   0.00,  0.00,  0.00,  0.00,  0.17,  1.27,  3.93, 10.63, 14.34, 18.49, 20.10, 15.56,  8.86,  4.32,  1.72,  0.55,  0.06,  0.00,  0.00,  0.00,  0.00
1981 44   0.00,  0.00,  0.00,  0.00,  0.22,  1.55,  5.37, 11.63, 14.67, 16.28, 20.54, 15.56,  9.41,  3.65,  0.83,  0.28,  0.00,  0.00,  0.00,  0.00,  0.00
1981 45   0.00,  0.00,  0.00,  0.00,  0.28,  1.16,  4.82,  9.80, 13.57, 15.12, 28.18, 16.61,  7.81,  1.83,  0.78,  0.06,  0.00,  0.00,  0.00,  0.00,  0.00
1981 46   0.00,  0.00,  0.00,  0.06,  0.72,  1.38,  6.15,  9.41, 13.95, 15.95, 28.07, 17.66,  4.98,  1.55,  0.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1981 47   0.00,  0.00,  0.00,  0.06,  0.44,  1.33,  4.54,  7.75, 13.84, 15.95, 25.14, 22.04,  7.42,  1.44,  0.06,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1981 48   0.00,  0.00,  0.00,  0.00,  0.17,  1.27,  3.71,  6.42, 12.35, 15.78, 19.77, 24.53, 11.90,  3.71,  0.39,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1981 49   0.00,  0.00,  0.00,  0.00,  0.11,  1.27,  3.05,  6.09, 10.41, 16.67, 19.10, 25.64, 13.73,  3.43,  0.44,  0.06,  0.00,  0.00,  0.00,  0.00,  0.00
1981 50   0.00,  0.00,  0.00,  0.00,  0.17,  0.83,  2.99,  4.87,  9.91, 13.84, 18.22, 28.52, 16.72,  3.71,  0.11,  0.11,  0.00,  0.00,  0.00,  0.00,  0.00
1981 51   0.00,  0.00,  0.00,  0.00,  0.22,  0.61,  2.10,  4.71,  7.97, 13.62, 15.95, 24.31, 21.26,  7.97,  1.16,  0.06,  0.06,  0.00,  0.00,  0.00,  0.00
1981 52   0.00,  0.00,  0.00,  0.06,  0.39,  1.00,  2.49,  5.20,  8.86, 14.40, 16.17, 19.49, 18.55,  9.30,  3.38,  0.66,  0.06,  0.00,  0.00,  0.00,  0.00
1982 01   0.00,  0.00,  0.00,  0.00,  0.22,  0.94,  2.44,  5.87,  9.08, 15.12, 16.39, 19.21, 14.56,  9.91,  4.54,  1.44,  0.22,  0.00,  0.06,  0.00,  0.00
1982 02   0.00,  0.00,  0.00,  0.00,  0.50,  0.89,  3.16,  7.36, 13.62, 18.33, 18.60, 16.50, 12.46,  5.54,  2.44,  0.61,  0.00,  0.00,  0.00,  0.00,  0.00
1982 03   0.00,  0.00,  0.00,  0.06,  0.55,  1.44,  4.54, 10.02, 18.83, 19.44, 20.10, 14.12,  7.81,  2.21,  0.78,  0.11,  0.00,  0.00,  0.00,  0.00,  0.00
1982 04   0.00,  0.00,  0.06,  0.17,  0.83,  2.88,  9.86, 19.38, 24.58, 21.10, 12.40,  5.98,  2.21,  0.55,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 05   0.00,  0.00,  0.06,  0.22,  1.50,  6.15, 16.94, 28.46, 25.25, 14.51,  4.65,  1.94,  0.28,  0.06,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 06   0.00,  0.00,  0.06,  0.06,  1.50,  6.64, 22.81, 34.11, 22.81,  8.80,  2.38,  0.66,  0.17,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 07   0.00,  0.00,  0.00,  0.17,  2.16, 11.18, 32.23, 31.23, 17.11,  4.60,  1.11,  0.22,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 08   0.00,  0.00,  0.00,  0.00,  1.55,  8.91, 33.72, 31.95, 18.60,  4.15,  0.94,  0.17,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 09   0.00,  0.00,  0.00,  0.00,  1.05,  7.97, 29.24, 35.71, 20.21,  4.93,  0.55,  0.28,  0.06,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 10   0.00,  0.00,  0.00,  0.00,  1.16,  6.09, 23.20, 38.10, 23.42,  6.42,  1.33,  0.22,  0.06,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 11   0.00,  0.00,  0.00,  0.17,  1.66,  7.64, 23.48, 36.54, 22.65,  6.15,  1.50,  0.22,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 12   0.00,  0.00,  0.00,  0.11,  0.55,  5.26, 15.61, 29.68, 31.17, 12.85,  3.65,  1.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 13   0.00,  0.00,  0.00,  0.06,  0.83,  5.81, 14.67, 26.41, 29.57, 15.50,  5.37,  1.38,  0.39,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 14   0.00,  0.00,  0.00,  0.22,  1.83,  7.25, 17.05, 25.36, 24.25, 14.95,  6.59,  1.83,  0.55,  0.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 15   0.00,  0.00,  0.00,  0.22,  2.16,  7.81, 14.84, 22.48, 23.03, 14.17,  9.58,  3.82,  1.61,  0.28,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 16   0.00,  0.00,  0.11,  0.61,  1.44,  6.20, 13.68, 18.05, 20.27, 16.45, 12.35,  6.98,  3.10,  0.78,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 17   0.00,  0.00,  0.28,  0.72,  1.61,  4.87, 11.57, 16.22, 16.89, 16.78, 15.89,  9.08,  4.65,  1.38,  0.06,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 18   0.00,  0.11,  0.06,  0.55,  1.27,  4.37, 11.02, 13.29, 16.61, 17.61, 18.27,  8.58,  5.87,  1.83,  0.39,  0.11,  0.06,  0.00,  0.00,  0.00,  0.00
1982 19   0.00,  0.00,  0.11,  0.06,  0.89,  3.32,  7.81, 14.01, 15.34, 18.66, 17.17, 11.24,  6.81,  3.10,  1.00,  0.33,  0.11,  0.00,  0.00,  0.06,  0.00
1982 20   0.00,  0.00,  0.00,  0.06,  0.72,  1.66,  4.98,  9.80, 16.22, 17.11, 17.28, 14.23, 10.08,  4.98,  2.16,  0.44,  0.17,  0.06,  0.06,  0.00,  0.00
1982 21   0.00,  0.00,  0.00,  0.11,  0.22,  0.89,  2.77,  5.87, 12.07, 14.45, 18.99, 14.51, 14.12,  8.31,  4.65,  2.21,  0.61,  0.17,  0.06,  0.00,  0.00
1982 22   0.00,  0.00,  0.06,  0.11,  0.22,  0.78,  2.27,  5.20,  9.19, 14.78, 15.50, 17.44, 13.51, 10.85,  5.48,  3.10,  1.05,  0.39,  0.06,  0.00,  0.00
1982 23   0.00,  0.00,  0.00,  0.22,  0.33,  0.72,  2.49,  4.93,  9.08, 15.28, 15.23, 16.11, 14.45, 10.08,  6.26,  3.05,  1.33,  0.39,  0.00,  0.06,  0.00
1982 24   0.00,  0.00,  0.06,  0.17,  0.39,  1.33,  3.77,  6.15,  9.41, 15.01, 17.83, 15.95, 13.18,  8.42,  5.09,  2.05,  1.11,  0.06,  0.00,  0.06,  0.00
1982 25   0.00,  0.00,  0.00,  0.11,  0.44,  1.22,  2.99,  5.32, 10.58, 15.12, 20.10, 16.56, 12.46,  9.03,  3.71,  1.77,  0.50,  0.11,  0.00,  0.00,  0.00
1982 26   0.00,  0.00,  0.00,  0.06,  0.50,  1.16,  3.32,  6.59, 11.90, 16.78, 21.43, 15.61, 11.57,  6.64,  3.05,  1.00,  0.33,  0.06,  0.00,  0.00,  0.00
1982 27   0.00,  0.00,  0.00,  0.11,  0.44,  1.94,  3.99,  8.69, 14.62, 18.55, 19.93, 13.51, 10.08,  5.37,  1.72,  0.66,  0.22,  0.17,  0.00,  0.00,  0.00
1982 28   0.00,  0.00,  0.00,  0.11,  0.61,  1.72,  4.54,  9.86, 15.34, 18.55, 16.83, 13.95,  9.19,  5.54,  2.60,  0.89,  0.17,  0.11,  0.00,  0.00,  0.00
