28.05.2018 0:37:47
1981 35   0.00,  0.00,  0.00,  0.00,  0.05,  0.19,  0.88,  3.16,  6.93, 12.46, 62.30,  7.30,  3.49,  1.95,  0.84,  0.19,  0.09,  0.05,  0.09,  0.05,  0.00
1981 36   0.00,  0.00,  0.00,  0.09,  0.23,  2.14,  5.39,  9.11, 16.23, 15.11, 32.91,  7.39,  5.90,  3.11,  1.49,  0.42,  0.28,  0.05,  0.00,  0.09,  0.05
1981 37   0.00,  0.00,  0.14,  1.07,  3.39,  6.74, 10.55, 13.85, 14.60, 14.69, 15.76,  8.83,  5.30,  2.51,  1.44,  0.51,  0.23,  0.14,  0.19,  0.05,  0.00
1981 38   0.00,  0.14,  0.88,  1.35,  4.79,  9.16, 11.06, 14.32, 15.25, 14.69, 11.95,  7.39,  4.56,  2.23,  1.02,  0.65,  0.28,  0.19,  0.09,  0.00,  0.00
1981 39   0.05,  0.14,  0.65,  2.05,  3.72,  8.69, 12.69, 15.06, 16.04, 15.11, 10.97,  7.02,  3.81,  2.09,  1.12,  0.42,  0.28,  0.05,  0.05,  0.00,  0.00
1981 40   0.00,  0.09,  0.46,  1.39,  2.84,  5.95, 11.99, 15.48, 17.20, 15.57, 12.32,  8.60,  3.77,  2.88,  0.79,  0.37,  0.14,  0.09,  0.00,  0.05,  0.00
1981 41   0.00,  0.00,  0.05,  0.70,  0.98,  2.98,  5.25, 11.99, 15.57, 16.64, 15.48, 12.83,  8.83,  5.16,  2.37,  0.79,  0.23,  0.14,  0.00,  0.00,  0.00
1981 42   0.00,  0.00,  0.00,  0.19,  0.28,  1.12,  3.16,  6.42, 10.55, 12.78, 16.41, 14.46, 15.02,  9.62,  6.18,  2.65,  0.88,  0.19,  0.05,  0.05,  0.00
1981 43   0.00,  0.00,  0.00,  0.19,  0.70,  1.67,  3.02,  7.25, 10.00, 11.72, 13.81, 15.53, 13.95, 11.16,  6.23,  3.49,  1.16,  0.05,  0.09,  0.00,  0.00
1981 44   0.00,  0.00,  0.05,  0.28,  0.88,  1.63,  4.23,  9.39, 12.60, 15.62, 14.55, 13.99, 12.65,  7.21,  4.18,  1.58,  0.84,  0.28,  0.05,  0.00,  0.00
1981 45   0.00,  0.00,  0.05,  0.23,  0.33,  1.91,  5.67,  9.44, 14.18, 15.85, 14.18, 11.16, 11.85,  7.11,  4.74,  2.42,  0.60,  0.23,  0.05,  0.00,  0.00
1981 46   0.00,  0.00,  0.00,  0.28,  0.93,  3.07,  8.55, 10.88, 13.95, 13.62, 12.51, 10.27,  9.39,  7.81,  5.49,  2.00,  0.93,  0.28,  0.05,  0.00,  0.00
1981 47   0.00,  0.00,  0.19,  0.42,  1.72,  5.95,  9.21, 12.97, 11.95, 12.27, 12.18,  9.34,  7.58,  7.76,  5.02,  1.95,  1.07,  0.42,  0.00,  0.00,  0.00
1981 48   0.00,  0.00,  0.14,  0.46,  1.81,  5.58,  8.41, 11.25, 12.37, 10.74, 10.97, 10.55,  8.74,  8.28,  5.86,  3.07,  1.26,  0.51,  0.00,  0.00,  0.00
1981 49   0.00,  0.05,  0.09,  0.56,  2.00,  4.65,  7.02, 10.37, 11.02,  9.86, 10.79, 11.39, 11.67,  9.25,  7.21,  2.74,  1.16,  0.14,  0.05,  0.00,  0.00
1981 50   0.00,  0.00,  0.19,  0.70,  2.79,  4.88,  7.58,  8.23,  9.76, 10.69,  9.67,  8.93, 10.51,  8.88,  9.02,  5.35,  2.19,  0.60,  0.05,  0.00,  0.00
1981 51   0.00,  0.05,  0.23,  0.46,  2.19,  4.09,  5.35,  8.55,  8.32, 10.09, 10.55, 10.09, 10.88, 10.18,  8.79,  5.53,  2.93,  1.30,  0.33,  0.05,  0.05
1981 52   0.00,  0.14,  0.19,  1.07,  2.05,  3.11,  5.44,  8.14, 10.00, 11.95, 11.48, 11.06, 10.93, 10.46,  6.93,  4.32,  1.72,  0.88,  0.05,  0.09,  0.00
1982 01   0.00,  0.19,  0.74,  1.44,  2.28,  3.58,  4.97,  7.90, 10.37, 12.60, 12.41, 12.04, 11.39,  9.21,  6.00,  2.88,  1.35,  0.60,  0.05,  0.00,  0.00
1982 02   0.00,  0.05,  0.74,  1.26,  1.81,  3.58,  6.04,  7.53, 13.16, 12.55, 13.85, 12.83,  9.95,  8.32,  4.79,  2.42,  0.84,  0.28,  0.00,  0.00,  0.00
1982 03   0.00,  0.09,  0.23,  1.30,  2.05,  3.81,  7.11,  8.37, 13.20, 16.46, 13.85, 13.58,  8.51,  6.09,  3.53,  1.26,  0.42,  0.14,  0.00,  0.00,  0.00
