28.05.2018 0:37:51
1981 35   0.00,  0.00,  0.00,  0.00,  0.08,  0.08,  1.09,  1.59,  5.79,  7.05, 33.81, 13.42, 11.91,  8.14,  5.45,  5.29,  2.18,  2.60,  1.09,  0.17,  0.25
1981 36   0.00,  0.00,  0.00,  0.08,  0.34,  1.34,  3.10,  5.87,  9.98, 12.58, 14.93, 14.09, 13.93, 10.49,  5.62,  3.44,  2.35,  1.26,  0.42,  0.17,  0.00
1981 37   0.00,  0.00,  0.00,  0.17,  0.50,  2.52,  4.87, 11.24, 14.35, 16.53, 14.35, 12.92,  9.40,  6.21,  3.52,  1.76,  1.09,  0.42,  0.17,  0.00,  0.00
1981 38   0.00,  0.00,  0.00,  0.17,  1.43,  3.52,  8.22, 13.76, 17.45, 17.87, 14.01,  8.89,  6.21,  4.70,  1.85,  1.26,  0.25,  0.25,  0.08,  0.08,  0.00
1981 39   0.00,  0.00,  0.00,  0.76,  1.43,  5.62, 11.24, 14.68, 19.46, 18.04, 11.49,  7.30,  4.78,  2.77,  1.26,  0.76,  0.42,  0.00,  0.00,  0.00,  0.00
1981 40   0.00,  0.00,  0.17,  1.01,  2.52,  6.80, 13.17, 15.94, 18.29, 15.18, 11.58,  6.21,  4.11,  2.68,  1.51,  0.67,  0.17,  0.00,  0.00,  0.00,  0.00
1981 41   0.00,  0.00,  0.08,  0.84,  2.52,  5.62, 12.67, 15.77, 19.55, 15.52, 10.74,  8.31,  3.27,  2.52,  1.76,  0.59,  0.25,  0.00,  0.00,  0.00,  0.00
1981 42   0.00,  0.00,  0.00,  0.08,  0.76,  2.01,  5.70, 13.34, 15.86, 21.22, 16.28, 11.07,  7.80,  2.94,  1.76,  0.92,  0.08,  0.17,  0.00,  0.00,  0.00
1981 43   0.00,  0.00,  0.00,  0.00,  0.08,  0.42,  3.10,  5.54, 12.08, 16.19, 19.55, 18.37, 12.00,  7.05,  3.27,  1.34,  0.84,  0.08,  0.08,  0.00,  0.00
1981 44   0.00,  0.00,  0.00,  0.00,  0.08,  1.09,  3.94,  8.22, 12.75, 14.77, 20.89, 17.37, 10.99,  5.03,  3.44,  0.76,  0.50,  0.08,  0.08,  0.00,  0.00
