11.05.2018 17:43:35
1981 35   0.00,  0.00,  0.00,  0.04,  0.54,  1.90,  4.70,  7.39, 10.90, 12.27, 41.36,  6.42,  5.77,  2.51,  2.19,  1.54,  1.11,  0.68,  0.39,  0.18,  0.11
1981 36   0.00,  0.14,  0.61,  1.04,  2.69,  5.81,  8.29, 10.72, 14.74, 11.23, 17.32,  8.32,  6.46,  4.05,  2.80,  1.54,  1.94,  1.04,  0.57,  0.43,  0.25
1981 37   0.57,  0.68,  1.11,  2.65,  5.38,  8.03, 10.08, 12.12, 12.16, 11.26, 10.33,  8.32,  5.92,  3.55,  2.40,  1.58,  1.51,  1.18,  0.68,  0.39,  0.07
1981 38   1.40,  0.93,  2.44,  3.52,  5.42,  7.14, 10.11, 10.40, 11.55, 10.65, 11.01,  8.25,  5.60,  4.12,  2.65,  1.76,  1.69,  0.75,  0.50,  0.04,  0.07
1981 39   1.47,  1.15,  2.47,  3.26,  5.88,  7.46,  8.32, 10.19, 10.69, 12.02,  9.90,  8.75,  6.71,  4.34,  3.30,  2.30,  1.08,  0.47,  0.22,  0.00,  0.04
1981 40   1.00,  1.08,  2.04,  3.23,  4.84,  6.89,  7.96,  9.47, 10.69, 10.55, 10.87,  9.25,  8.14,  5.77,  4.66,  2.22,  0.90,  0.32,  0.11,  0.00,  0.00
1981 41   0.57,  0.57,  0.90,  2.15,  3.30,  5.74,  7.75,  8.00, 10.01, 10.90, 11.37, 10.44,  9.58,  8.07,  5.52,  2.80,  1.72,  0.47,  0.14,  0.00,  0.00
1981 42   0.11,  0.04,  0.47,  0.79,  1.54,  3.37,  5.70,  8.32, 10.04, 12.16, 12.16, 12.55, 11.55, 10.01,  5.67,  3.23,  1.43,  0.68,  0.14,  0.04,  0.00
1981 43   0.00,  0.04,  0.14,  0.29,  0.82,  1.43,  3.48,  5.81,  9.11, 11.23, 15.17, 12.84, 13.77, 11.05,  7.71,  3.95,  1.76,  0.68,  0.57,  0.14,  0.00
1981 44   0.00,  0.00,  0.04,  0.29,  0.75,  1.72,  3.05,  5.52,  9.07, 12.16, 15.93, 14.42, 13.81, 10.98,  6.21,  2.76,  1.58,  0.86,  0.50,  0.29,  0.07
1981 45   0.00,  0.00,  0.00,  0.14,  0.90,  1.11,  2.83,  4.95,  8.97, 11.48, 14.63, 15.78, 16.14,  9.15,  6.60,  3.55,  1.76,  1.18,  0.50,  0.25,  0.07
1981 46   0.00,  0.00,  0.00,  0.14,  0.57,  1.15,  2.55,  4.63,  7.75, 10.55, 15.10, 14.99, 16.03, 11.08,  7.32,  4.38,  2.19,  1.04,  0.43,  0.11,  0.00
1981 47   0.00,  0.00,  0.14,  0.36,  0.79,  1.94,  3.34,  6.06,  9.04, 10.19, 13.52, 14.49, 14.13, 10.01,  7.64,  4.81,  2.40,  0.82,  0.14,  0.07,  0.11
1981 48   0.00,  0.04,  0.22,  0.43,  1.11,  1.94,  3.30,  6.35,  7.82, 10.04, 11.98, 13.95, 14.20, 11.87,  7.60,  5.60,  2.47,  0.68,  0.22,  0.14,  0.04
1981 49   0.00,  0.07,  0.07,  0.25,  0.79,  1.61,  2.76,  4.84,  6.35,  8.50, 12.12, 12.84, 16.18, 15.17,  9.72,  4.73,  2.83,  0.75,  0.36,  0.04,  0.00
1981 50   0.00,  0.04,  0.14,  0.14,  0.65,  1.58,  2.47,  5.60,  6.96,  9.36, 11.26, 14.28, 15.24, 13.95, 10.19,  5.24,  2.08,  0.65,  0.14,  0.04,  0.00
1981 51   0.00,  0.00,  0.07,  0.04,  0.43,  1.11,  2.26,  4.48,  5.38,  8.72, 12.52, 14.28, 16.28, 14.31, 11.51,  5.92,  2.01,  0.57,  0.07,  0.04,  0.00
1981 52   0.00,  0.00,  0.00,  0.04,  0.14,  0.75,  2.58,  4.56,  7.14, 11.44, 13.74, 15.53, 12.41, 14.20, 10.55,  4.99,  1.51,  0.32,  0.11,  0.00,  0.00
1982 01   0.00,  0.00,  0.00,  0.00,  0.11,  0.54,  1.79,  4.34,  7.25, 10.55, 14.67, 16.68, 15.42, 11.05, 10.11,  5.63,  1.47,  0.36,  0.04,  0.00,  0.00
1982 02   0.00,  0.00,  0.00,  0.00,  0.22,  0.68,  2.26,  5.88,  9.90, 15.82, 18.72, 16.18, 13.06,  8.61,  5.56,  2.47,  0.57,  0.07,  0.00,  0.00,  0.00
1982 03   0.00,  0.00,  0.00,  0.04,  0.14,  1.15,  3.48,  8.61, 14.42, 20.41, 20.05, 14.49,  9.36,  4.52,  2.44,  0.82,  0.07,  0.00,  0.00,  0.00,  0.00
1982 04   0.00,  0.00,  0.00,  0.00,  0.22,  1.54,  5.70, 12.30, 18.94, 22.63, 18.36, 11.33,  5.81,  2.19,  0.75,  0.22,  0.00,  0.00,  0.00,  0.00,  0.00
