11.05.2018 17:43:08
1981 35   0.00,  0.00,  0.00,  0.00,  0.00,  0.62,  1.25,  2.50,  5.31,  8.28, 13.59, 13.28, 10.62, 10.62,  8.44,  8.59,  5.62,  4.06,  3.75,  2.34,  1.09
1981 36   0.00,  0.00,  0.00,  0.16,  0.78,  0.94,  3.12,  5.00,  7.66, 10.94, 12.34, 13.91, 11.72, 10.16,  8.75,  4.38,  4.84,  3.12,  1.88,  0.31,  0.00
1981 37   0.00,  0.00,  0.00,  0.47,  0.47,  2.19,  2.66,  6.25,  8.59, 12.97, 13.91, 15.16, 11.72, 10.00,  6.09,  4.38,  3.75,  1.41,  0.00,  0.00,  0.00
1981 38   0.00,  0.00,  0.16,  0.62,  0.78,  2.03,  4.84,  6.56, 10.94, 14.84, 18.12, 13.44, 10.16,  7.19,  4.69,  3.91,  1.41,  0.31,  0.00,  0.00,  0.00
1981 39   0.00,  0.16,  0.00,  0.62,  1.09,  2.66,  3.44,  9.84, 13.59, 14.53, 15.94, 13.28,  9.06,  6.72,  5.94,  1.88,  1.09,  0.16,  0.00,  0.00,  0.00
1981 40   0.00,  0.16,  0.00,  0.31,  1.09,  2.19,  6.09,  8.12, 12.97, 16.56, 12.66, 11.25, 10.00,  7.34,  6.41,  2.97,  1.41,  0.47,  0.00,  0.00,  0.00
1981 41   0.00,  0.00,  0.16,  0.31,  1.25,  2.66,  7.34, 10.16, 12.97, 16.09, 10.31, 13.12, 10.94,  5.94,  4.38,  2.81,  1.25,  0.31,  0.00,  0.00,  0.00
1981 42   0.00,  0.00,  0.00,  0.00,  0.16,  1.41,  5.31,  9.53, 14.06, 13.59, 14.38, 13.44, 10.78,  8.44,  4.06,  2.34,  2.03,  0.47,  0.00,  0.00,  0.00
1981 43   0.00,  0.00,  0.00,  0.00,  0.00,  0.47,  2.66,  5.31, 13.59, 14.22, 14.38, 15.78, 12.34,  9.53,  5.78,  3.75,  1.88,  0.31,  0.00,  0.00,  0.00
1981 44   0.00,  0.00,  0.00,  0.00,  0.00,  0.94,  1.88,  7.19, 18.59, 17.03, 17.34, 13.28,  9.84,  7.19,  4.38,  1.88,  0.47,  0.00,  0.00,  0.00,  0.00
1981 45   0.00,  0.00,  0.00,  0.00,  0.31,  3.12, 10.16, 14.84, 20.78, 19.38, 11.72,  8.59,  6.09,  3.44,  1.09,  0.47,  0.00,  0.00,  0.00,  0.00,  0.00
1981 46   0.00,  0.00,  0.00,  0.31,  1.09,  6.09, 12.03, 18.91, 16.41, 16.09,  9.53,  7.19,  6.56,  4.53,  0.94,  0.31,  0.00,  0.00,  0.00,  0.00,  0.00
1981 47   0.00,  0.00,  0.00,  0.00,  0.94,  3.75, 11.09, 14.53, 15.47, 13.44, 11.72,  9.06,  7.81,  6.25,  4.38,  1.56,  0.00,  0.00,  0.00,  0.00,  0.00
1981 48   0.00,  0.00,  0.00,  0.16,  0.62,  2.03,  8.75, 14.38, 13.91, 13.59,  9.84,  9.38, 12.19,  7.19,  5.62,  2.34,  0.00,  0.00,  0.00,  0.00,  0.00
1981 49   0.00,  0.00,  0.00,  0.00,  0.62,  3.12,  8.12, 16.88, 15.16, 15.00, 12.19, 10.16,  9.53,  5.47,  2.50,  1.25,  0.00,  0.00,  0.00,  0.00,  0.00
1981 50   0.00,  0.00,  0.00,  0.16,  0.47,  2.34,  7.97, 15.94, 19.38, 17.19, 13.28, 10.00,  7.81,  2.81,  2.03,  0.62,  0.00,  0.00,  0.00,  0.00,  0.00
1981 51   0.00,  0.00,  0.00,  0.00,  0.31,  1.56,  6.72, 14.84, 20.31, 17.34, 15.31, 11.25,  6.25,  3.44,  2.19,  0.47,  0.00,  0.00,  0.00,  0.00,  0.00
1981 52   0.00,  0.00,  0.00,  0.00,  0.00,  1.09,  4.22, 13.59, 20.62, 17.81, 15.62, 15.78,  6.41,  3.28,  1.41,  0.16,  0.00,  0.00,  0.00,  0.00,  0.00
1982 01   0.00,  0.00,  0.00,  0.00,  0.00,  1.25,  7.34, 13.12, 17.81, 20.62, 16.56, 12.66,  6.72,  2.97,  0.78,  0.16,  0.00,  0.00,  0.00,  0.00,  0.00
1982 02   0.00,  0.00,  0.00,  0.00,  0.31,  2.19,  8.75, 18.75, 18.75, 21.56, 13.59,  9.06,  5.31,  1.56,  0.16,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 03   0.00,  0.00,  0.00,  0.00,  0.47,  2.34,  9.84, 22.66, 20.47, 18.12, 14.38,  8.44,  2.81,  0.47,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 04   0.00,  0.00,  0.00,  0.00,  0.62,  2.97, 17.97, 26.88, 19.38, 18.44,  9.53,  3.44,  0.78,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 05   0.00,  0.00,  0.00,  0.16,  1.09,  8.28, 26.56, 28.44, 19.84,  9.38,  3.59,  2.34,  0.31,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 06   0.00,  0.00,  0.00,  0.00,  2.97, 14.69, 30.78, 30.00, 10.47,  6.72,  2.66,  1.56,  0.16,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 07   0.00,  0.00,  0.00,  0.00,  2.34, 17.03, 32.81, 28.59,  9.69,  6.56,  2.19,  0.78,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 08   0.00,  0.00,  0.00,  0.00,  1.56, 11.88, 32.19, 30.31, 12.97,  6.25,  3.59,  1.25,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 09   0.00,  0.00,  0.00,  0.00,  1.72, 10.62, 28.59, 33.59, 14.53,  6.25,  3.12,  1.41,  0.16,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 10   0.00,  0.00,  0.00,  0.31,  3.44, 13.75, 30.00, 29.69, 13.75,  4.22,  3.28,  1.41,  0.16,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 11   0.00,  0.00,  0.00,  0.47,  6.41, 17.81, 32.34, 22.66, 10.31,  6.09,  2.50,  1.09,  0.31,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 12   0.00,  0.00,  0.00,  0.62,  5.16, 18.12, 26.56, 25.00, 13.59,  6.88,  2.66,  1.09,  0.31,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 13   0.00,  0.00,  0.00,  0.62,  5.16, 16.72, 23.44, 22.50, 16.56,  8.44,  4.38,  1.25,  0.78,  0.16,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 14   0.00,  0.00,  0.16,  0.94,  2.81,  9.06, 17.34, 20.47, 20.00, 15.00,  7.66,  5.31,  1.09,  0.16,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 15   0.00,  0.00,  0.16,  0.78,  2.81,  3.59, 10.78, 12.81, 17.03, 17.50, 25.94,  7.50,  1.09,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 16   0.00,  0.00,  0.00,  0.47,  2.34,  4.06,  5.94,  9.53, 12.50, 16.56, 34.06, 13.12,  1.25,  0.00,  0.16,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 17   0.00,  0.00,  0.00,  0.00,  1.72,  2.97,  4.53,  9.06, 13.12, 15.31, 30.47, 17.81,  4.84,  0.16,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 18   0.00,  0.00,  0.00,  0.00,  1.56,  2.19,  6.41, 11.72, 16.72, 15.47, 18.91, 14.84,  8.44,  2.81,  0.94,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 19   0.00,  0.00,  0.00,  0.62,  2.50,  4.22,  9.69, 16.09, 16.72, 16.72, 15.47, 10.78,  4.06,  2.34,  0.78,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 20   0.00,  0.00,  0.47,  1.09,  3.28,  6.88, 13.12, 15.62, 22.03, 13.75, 13.12,  5.16,  2.97,  1.88,  0.62,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 21   0.00,  0.00,  0.31,  1.72,  2.03,  5.00, 12.50, 16.72, 20.78, 14.38, 12.81,  6.09,  4.69,  2.19,  0.62,  0.16,  0.00,  0.00,  0.00,  0.00,  0.00
1982 22   0.00,  0.00,  0.16,  1.25,  2.34,  3.75, 12.66, 17.19, 20.16, 16.25, 12.34,  5.00,  4.38,  2.50,  1.25,  0.47,  0.31,  0.00,  0.00,  0.00,  0.00
1982 23   0.00,  0.00,  0.00,  0.47,  2.66,  3.75,  8.59, 20.94, 18.91, 13.91, 15.47,  6.56,  4.22,  2.34,  0.78,  0.62,  0.47,  0.31,  0.00,  0.00,  0.00
1982 24   0.00,  0.00,  0.00,  0.62,  1.72,  4.06, 11.88, 18.44, 17.34, 15.94, 14.53,  7.34,  4.22,  1.56,  1.09,  0.47,  0.16,  0.62,  0.00,  0.00,  0.00
1982 25   0.00,  0.00,  0.00,  0.16,  2.03,  5.47, 10.16, 16.25, 17.50, 16.72, 13.91,  7.81,  4.22,  3.28,  0.94,  0.62,  0.47,  0.31,  0.16,  0.00,  0.00
1982 26   0.00,  0.00,  0.00,  0.78,  1.56,  3.59, 12.81, 15.47, 15.00, 17.50, 15.16,  5.78,  5.62,  2.97,  1.88,  0.94,  0.47,  0.31,  0.16,  0.00,  0.00
1982 27   0.00,  0.00,  0.00,  0.62,  0.62,  5.00,  8.91, 15.31, 17.34, 16.41, 13.59,  8.44,  5.31,  3.44,  2.50,  1.72,  0.47,  0.16,  0.16,  0.00,  0.00
1982 28   0.00,  0.00,  0.00,  0.31,  0.94,  4.69,  9.06, 12.66, 17.50, 17.66, 13.44,  9.84,  5.78,  3.59,  1.72,  1.88,  0.78,  0.16,  0.00,  0.00,  0.00
1982 29   0.00,  0.00,  0.00,  0.31,  1.41,  4.38,  7.81, 12.66, 13.91, 15.94, 16.41,  9.84,  7.97,  4.22,  2.34,  1.25,  1.25,  0.31,  0.00,  0.00,  0.00
1982 30   0.00,  0.00,  0.00,  0.31,  2.03,  2.03,  5.94,  9.38, 13.75, 17.66, 15.16, 14.06,  8.91,  5.62,  1.88,  1.88,  1.09,  0.31,  0.00,  0.00,  0.00
1982 31   0.00,  0.00,  0.16,  0.62,  1.88,  3.44,  6.56,  8.28, 15.16, 17.66, 15.00, 12.66,  7.97,  5.31,  2.81,  1.25,  0.78,  0.47,  0.00,  0.00,  0.00
1982 32   0.00,  0.00,  0.16,  1.72,  3.91,  4.53,  7.66, 12.81, 14.84, 14.84, 11.25, 11.09,  8.44,  4.06,  2.34,  1.56,  0.31,  0.47,  0.00,  0.00,  0.00
1982 33   0.00,  0.00,  1.72,  2.50,  4.22,  5.47, 10.31, 13.44, 14.84, 12.34, 10.94, 11.09,  5.31,  2.66,  2.97,  0.78,  0.94,  0.31,  0.16,  0.00,  0.00
1982 34   0.16,  1.25,  2.19,  3.12,  5.47, 10.31,  8.59, 16.41, 13.44, 11.56,  8.28,  7.19,  5.00,  3.44,  1.25,  1.56,  0.47,  0.16,  0.16,  0.00,  0.00
1982 35   1.09,  2.66,  2.66,  5.47,  8.91,  8.91, 13.59, 14.06, 12.50, 10.47,  7.50,  4.38,  3.44,  1.72,  1.09,  1.09,  0.31,  0.16,  0.00,  0.00,  0.00
